home_player,away_player,sets,resulthome,resultaway,match_number
Bálint Sándor,Klampár Tibor Kirill,[],1,3,1
Bálint Sándor,Stefán Ábel,[],1,3,5
Bálint Sándor,Fodor Csaba Artúr,[],2,3,9
Bálint Sándor,Szimán Barbara,[],3,1,13
Csercsa István,Klampár Tibor Kirill,[],2,3,14
Csercsa István,Stefán Ábel,[],1,3,2
Csercsa István,Fodor Csaba Artúr,[],0,3,6
Csercsa István,Szimán Barbara,[],3,0,10
Kertész Gábor,Klampár Tibor Kirill,[],2,3,11
Kertész Gábor,Stefán Ábel,[],0,3,15
Kertész Gábor,Fodor Csaba Artúr,[],1,3,3
Kertész Gábor,Szimán Barbara,[],3,0,7
Vasanits Attila,Klampár Tibor Kirill,[],1,3,8
Vasanits Attila,Stefán Ábel,[],1,3,12
Vasanits Attila,Fodor Csaba Artúr,[],0,3,16
Vasanits Attila,Szimán Barbara,[],3,0,4
