home_player,away_player,sets,resulthome,resultaway,match_number
Vancsura György,Sós Éva,[],3,2,1
Vancsura György,Huszár Attila,[],3,0,5
Vancsura György,Nagy Zoltán,[],3,2,9
Vancsura György,Papp Nándor,[],3,2,13
Rugási László,Sós Éva,[],3,0,14
Rugási László,Huszár Attila,[],3,0,2
Rugási László,Nagy Zoltán,[],0,3,6
Rugási László,Papp Nándor,[],3,2,10
Olbort Attila,Sós Éva,[],3,2,11
Olbort Attila,Huszár Attila,[],3,2,15
Olbort Attila,Nagy Zoltán,[],1,3,3
Olbort Attila,Papp Nándor,[],0,3,7
Prinyi Csaba,Sós Éva,[],3,1,8
Prinyi Csaba,Huszár Attila,[],3,1,12
Prinyi Csaba,Nagy Zoltán,[],3,0,16
Prinyi Csaba,Papp Nándor,[],3,2,4
