position,name,license,team,matches,wins,win_percentage
1.,Mezei Levente,12740,BVSC-Zugló IV.-Sima Szoft,76,76,100%
2.,Klampár Tibor Kirill,18430,BVSC-Zugló IV.-Sima Szoft,84,83,98.81%
3.,Klampár Tibor ifj.,14375,BVSC-Zugló IV.-Sima Szoft,80,79,98.75%
4.,Németh Roland,10109,BVSC-Zugló IV.-Sima Szoft,72,71,98.61%
5.,Király Zsolt,8380,Pénzügyőr SE VI.,96,81,84.38%
6.,Erdész Tibor,9021,Igazságügyi SC I.,104,86,82.69%
7.,Pintér Róbert,10371,Budai XI. SE III.,89,69,77.53%
8.,Simon Gergő,12818,BEAC II.,78,56,71.79%
9.,Koszó Gábor dr.,19931,FKF SK II.,76,54,71.05%
10.,Monostori Balázs,9130,Pestszentimrei PSE V.,100,71,71%
11.,Gyenes Csaba,19849,Igazságügyi SC I.,99,70,70.71%
12.,Lelesz István,10099,Kőbánya SC II.,92,64,69.57%
13.,Penczner Endre,10101,Kőbánya SC II.,100,69,69%
14.,Janzsó Gergely,17830,FKF SK II.,72,49,68.06%
15.,Kollár Tamás,10419,Budai XI. SE III.,62,41,66.13%
16.,Lehoczki Martin,15708,FKF SK II.,85,56,65.88%
17.,Nagy Tamás,13908,BEAC II.,58,38,65.52%
18.,Gál Péter,19893,Pestszentimrei PSE V.,84,54,64.29%
19.,Szandi Nándor Mihály,12761,Pestújhelyi SC III.,96,61,63.54%
20.,Simon Krisztián,12708,ABC Centerline II.,64,40,62.5%
21.,Nagy Zoltán,16328,ABC Centerline II.,92,57,61.96%
22.,Hanyecz Attila,10417,Budai XI. SE III.,68,42,61.76%
23.,Kőszeghy Viktória,14570,Pestszentimrei PSE V.,80,49,61.25%
24.,Sinka Csaba,10577,Sanitas-BUDO SE III.,66,40,60.61%
25.,Szabó Tamás,13905,ESZVK-Parazsak,96,58,60.42%
26.,Németh Tamás,17304,ESZVK-Parazsak,99,59,59.6%
27.,Prinyi Csaba,14743,KSI SE IV.,64,38,59.38%
28.,Hachbold Tamás,12604,Pénzügyőr SE VI.,66,38,57.58%
29.,Kelemen József ifj.,10166,Pestújhelyi SC III.,72,41,56.94%
30.,Antal Sámuel Benedek,20678,Igazságügyi SC I.,89,50,56.18%
31.,Pillinger János,9672,Kőbánya SC II.,104,57,54.81%
32.,Rugási László,8207,KSI SE IV.,96,52,54.17%
33.,Kricsfalusy Kornél,8763,Pénzügyőr SE VI.,84,45,53.57%
34.,Varga Gergely,10421,Budai XI. SE III.,72,38,52.78%
35.,Botlik Gergő,18458,BEAC II.,92,48,52.17%
36.,Marosi Katalin,13365,FKF SK II.,80,41,51.25%
37.,Erdész Ákos,11534,Igazságügyi SC I.,70,34,48.57%
38.,Nyári Lajos,17482,FKF SK II.,79,38,48.1%
39.,Szűcs Krisztián,19266,Belvárosi Asztalitenisz Egyesület,88,41,46.59%
40.,Lázár Zsolt,15133,Pestújhelyi SC III.,56,25,44.64%
41.,Populás György,12933,Belvárosi Asztalitenisz Egyesület,72,32,44.44%
42.,Vancsura György,8519,KSI SE IV.,96,42,43.75%
43.,Lőrincz Sándor,16122,Pestszentimrei PSE V.,84,34,40.48%
44.,Szőnyi Márta,10105,KSI SE IV.,88,35,39.77%
45.,Halasi Dávid dr.,11862,BEAC II.,53,21,39.62%
46.,Emmer Péter,17267,Pénzügyőr SE VI.,92,36,39.13%
47.,Kávássy Lóránd,14795,Belvárosi Asztalitenisz Egyesület,92,35,38.04%
48.,Papp Nándor,8420,ABC Centerline II.,72,27,37.5%
49.,Czeglédi Viktor Dr.,13294,Igazságügyi SC I.,54,20,37.04%
50.,Rajmon Attila,10571,Sanitas-BUDO SE III.,80,29,36.25%
51.,Zacher Gizella,10367,Belvárosi Asztalitenisz Egyesület,72,25,34.72%
52.,Balog István,8747,ABC Centerline II.,58,20,34.48%
53.,Szimeiszter Csaba,10106,Kőbánya SC II.,88,30,34.09%
54.,Váczi Attila Mihály,16351,BEAC II.,89,29,32.58%
55.,Órai Dezső,14221,ESZVK-Parazsak,85,23,27.06%
56.,Katona Gábor,18593,Belvárosi Asztalitenisz Egyesület,52,14,26.92%
57.,Morvay Bertalan,12777,BVSC-Zugló IV.-Sima Szoft,68,16,23.53%
58.,Pecsenyánszky Márton,10762,Budai XI. SE III.,66,14,21.21%
59.,Berki Balázs dr.,14050,ESZVK-Parazsak,76,11,14.47%
60.,Olbort Attila,9548,KSI SE IV.,52,6,11.54%
61.,Kelemen József id.,10165,Pestújhelyi SC III.,69,7,10.14%
