home_player,away_player,sets,resulthome,resultaway,match_number
Buck György,Jónyer Istvánné,[],3,0,1
Buck György,Vass Mária,[],3,0,5
Buck György,Rigó József,[],3,0,9
Buck György,Babicz Mihály,[],3,0,13
Tánczos Attila,Jónyer Istvánné,[],3,0,14
Tánczos Attila,Vass Mária,[],3,1,2
Tánczos Attila,Rigó József,[],3,0,6
Tánczos Attila,Babicz Mihály,[],1,3,10
Bercsényi Tibor,Jónyer Istvánné,[],3,0,11
Bercsényi Tibor,Vass Mária,[],3,1,15
Bercsényi Tibor,Rigó József,[],3,1,3
Bercsényi Tibor,Babicz Mihály,[],3,2,7
Radu Doru,Jónyer Istvánné,[],3,1,8
Radu Doru,Vass Mária,[],3,0,12
Radu Doru,Rigó József,[],3,0,16
Radu Doru,Babicz Mihály,[],3,2,4
