position,name,license,team,matches,wins,win_percentage
1.,Steinbach Roland,16711,Szent Pál Akadémia I.,120,101,84.17%
2.,Padla László,12582,ABC Centerline II.,108,90,83.33%
3.,Nguyen Duc Cuong,15895,Sanitas-Budó SE II.,109,90,82.57%
4.,Nguyen Anh Phuong,8216,Sanitas-Budó SE II.,113,90,79.65%
5.,Nagy Tamás,13908,KSI SE VII.-PPKO,109,86,78.9%
6.,Visnyánszky Mihály,8297,BKV Előre SC III.,116,88,75.86%
7.,Pölöskei András,14054,SZÜV ASE I.,109,80,73.39%
8.,Wehovszky Tamás,8563,KSI SE X.,108,74,68.52%
9.,Erdei István,15763,Csepeli Vállalkozások AE I.,113,76,67.26%
10.,Mórocz Tamás,14056,SZÜV ASE I.,109,73,66.97%
11.,Szabó Miklós,13911,KSI SE VII.-PPKO,117,78,66.67%
12.,Steinbach Rajmund,16712,Szent Pál Akadémia I.,116,72,62.07%
13.,Raksányi Géza,8659,Ferencvárosi Vasutas SK,116,64,55.17%
14.,Cserepi Ferenc,10438,Ferencvárosi Vasutas SK,112,60,53.57%
15.,Szijártó József,8561,KSI SE X.,116,59,50.86%
16.,Kocsis Gábor,13909,KSI SE VII.-PPKO,117,58,49.57%
17.,Pikó Imre,14325,Csepeli Vállalkozások AE I.,113,54,47.79%
18.,Hatházi Árpád,10440,Ferencvárosi Vasutas SK,120,52,43.33%
19.,Kollát Miklós,14053,SZÜV ASE I.,116,50,43.1%
20.,Börzsey Béla,9828,Puskás DSK II.,112,47,41.96%
21.,Czelba Ferenc,10132,Lendület SE II.-Népegészségügy,108,43,39.81%
22.,Molnár Balázs,10168,KSI Senior-KFKI SK IV.,116,36,31.03%
23.,Ángyán Károly,15671,Pestújhelyi SC IV.,112,33,29.46%
24.,Gulyás István,10349,KSI Senior-KFKI SK IV.,112,17,15.18%
25.,Németh István,10420,KSI Senior-KFKI SK IV.,112,12,10.71%
26.,Pap Jenő,11252,Puskás DSK II.,108,9,8.33%
