position,name,license,team,matches,wins,win_percentage
1.,Leinweber Zoltán,11164,BKV Előre  SC II.,112,111,99.11%
2.,Sziller Árpád József,10570,Shopsport SE,64,61,95.31%
3.,Dohoczki Tamás,8753,Budai XI SE IX.,57,52,91.23%
4.,Bertalan Krisztián,19824,Pestszentimrei PSE V.,104,93,89.42%
5.,Pölöskei András,14054,SZÜV ASE I.,88,77,87.5%
6.,Barabás Zoltán,9061,Shopsport SE,108,90,83.33%
7.,Gőgh József,17729,Budai XI SE VII.,80,65,81.25%
8.,Gut Zoltán,14315,Palotai Titánok SE II.,108,85,78.7%
9.,Kajdon András,10277,Budai XI SE VII.,72,56,77.78%
10.,Tokai Imre,19004,Budai XI SE VII.,76,57,75%
11.,Szili Viktor,14619,Rákosmente AK I.,88,65,73.86%
12.,Lőrincz Attila,14740,Angyalföldi TTE II.,76,56,73.68%
13.,Arató János,9258,Shopsport SE,112,82,73.21%
14.,Brázai Béla,16974,FKF SK III.,104,76,73.08%
15.,Baán Rita,11574,Budai XI SE VII.,64,46,71.88%
16.,Seprős Richárd,14796,Budai XI SE VII.,72,51,70.83%
17.,Gut József,10134,Palotai Titánok SE II.,100,69,69%
18.,Pataki Bálint Szabolcs,19825,Pestszentimrei PSE V.,111,76,68.47%
19.,Somogyi Roland,11771,OTP SK II.,101,67,66.34%
20.,Vasvári Nicolette,17730,Budai XI SE VII.,59,39,66.1%
21.,Mészáros Péter Pál,19543,FKF SK III.,112,74,66.07%
22.,Kelemen Attila,9571,Pestszentimrei PSE V.,100,66,66%
23.,Boros László,10086,Kőbánya SC III.,104,68,65.38%
24.,Sipos Zoltán,8301,BKV Előre  SC II.,112,73,65.18%
25.,Simon Dávid,10280,Budai XI SE IX.,92,59,64.13%
26.,Dudás János András,13930,Rákosmente AK I.,79,48,60.76%
27.,Ardai Emese,14289,Budai XI SE IX.,86,52,60.47%
28.,Borbély János,9610,OTP SK II.,96,57,59.38%
29.,Mayer József,9088,KSI SE V.,61,34,55.74%
30.,Petrovics Péter,14222,Pestszentimrei PSE V.,85,44,51.76%
31.,Hargitai Bence,15536,Kőbánya SC III.,76,39,51.32%
32.,Bundula Csaba dr.,11765,Angyalföldi TTE II.,59,30,50.85%
33.,Grigolopulosz Péter,17520,Kispest SE IV.,100,50,50%
,Füzesi Botond Dr.,13932,Rákosmente AK I.,84,42,50%
35.,Szabó Attila,16215,FKF SK III.,112,55,49.11%
36.,Kollát Miklós,14053,SZÜV ASE I.,100,48,48%
37.,Debre Gábor,9812,Angyalföldi TTE II.,76,36,47.37%
38.,Kozák Milán,15341,Kispest SE IV.,100,45,45%
39.,Katona Gábor,18593,Kispest SE IV.,98,42,42.86%
40.,Mohácsi János,9607,OTP SK II.,92,39,42.39%
41.,Berec Tomislav,15121,Angyalföldi TTE II.,88,37,42.05%
42.,Dezsényiné Horgos Barbara,13304,OTP SK II.,100,42,42%
43.,Szántó Sándor,10195,Shopsport SE,110,45,40.91%
44.,Héregi László,8715,GALAXIS VSE II.-Fortuna,95,38,40%
45.,Szijártó József,8561,KSI SE V.,96,36,37.5%
46.,Kakucs Tamás,19832,Angyalföldi TTE II.,61,21,34.43%
47.,Nagy Péter,13311,GALAXIS VSE II.-Fortuna,104,35,33.65%
48.,Wehovszky Tamás,8563,KSI SE V.,93,31,33.33%
49.,Papp László,17958,GALAXIS VSE II.-Fortuna,80,25,31.25%
50.,Fritz Tamás,15918,BKV Előre  SC II.,84,24,28.57%
51.,Vágó János,19195,Kispest SE IV.,76,21,27.63%
52.,Kurilla János,17812,FKF SK III.,76,20,26.32%
53.,Kádár Mihály,9091,KSI SE V.,92,24,26.09%
54.,Székely Gábor,10108,Kőbánya SC III.,68,17,25%
55.,Kis Szilárd,13933,Rákosmente AK I.,68,16,23.53%
56.,Kasza Zoltán,19815,GALAXIS VSE II.-Fortuna,108,25,23.15%
57.,Bulla József,14288,Budai XI SE IX.,65,15,23.08%
58.,Sápi Zoltán Dr.,14135,BKV Előre  SC II.,81,15,18.52%
59.,Szilágyi László,10107,Kőbánya SC III.,104,19,18.27%
60.,Sztipich Gábor,19021,Kőbánya SC III.,60,2,3.33%
