home_player,away_player,sets,resulthome,resultaway,match_number
Nemes György,Varga Gergely,[],3,1,1
Nemes György,Szabó István,[],3,1,5
Nemes György,Kollár Tamás,[],3,1,9
Nemes György,Losonczi Benjamin,[],3,0,13
Pergel János,Varga Gergely,[],1,3,14
Pergel János,Szabó István,[],3,1,2
Pergel János,Kollár Tamás,[],2,3,6
Pergel János,Losonczi Benjamin,[],1,3,10
Horváth Miklós,Varga Gergely,[],3,1,11
Horváth Miklós,Szabó István,[],3,2,15
Horváth Miklós,Kollár Tamás,[],1,3,3
Horváth Miklós,Losonczi Benjamin,[],1,3,7
Kapus Ferenc,Varga Gergely,[],1,3,8
Kapus Ferenc,Szabó István,[],2,3,12
Kapus Ferenc,Kollár Tamás,[],0,3,16
Kapus Ferenc,Losonczi Benjamin,[],1,3,4
