home_player,away_player,sets,resulthome,resultaway,match_number
Harsányi Zsolt Tamás,Mühl Gabriella,[],3,1,1
Harsányi Zsolt Tamás,Lippai László,[],3,0,5
Harsányi Zsolt Tamás,Szabó Attila,[],0,3,9
Harsányi Zsolt Tamás,Horváth Gábor,[],2,3,13
Kapus Ferenc,Mühl Gabriella,[],2,3,14
Kapus Ferenc,Lippai László,[],1,3,2
Kapus Ferenc,Szabó Attila,[],0,3,6
Kapus Ferenc,Horváth Gábor,[],2,3,10
Éll József,Mühl Gabriella,[],0,3,11
Éll József,Lippai László,[],3,1,15
Éll József,Szabó Attila,[],1,3,3
Éll József,Horváth Gábor,[],3,0,7
Nagy Gergely,Mühl Gabriella,[],3,2,8
Nagy Gergely,Lippai László,[],3,0,12
Nagy Gergely,Szabó Attila,[],0,3,16
Nagy Gergely,Horváth Gábor,[],3,0,4
