home_player,away_player,sets,resulthome,resultaway,match_number
Nguyen Huy Anh,Radnóti Gábor,[],0,3,1
Nguyen Huy Anh,Lengyel Zoltán,[],0,3,5
Nguyen Huy Anh,Szabó László Vince,[],3,0,9
Nguyen Huy Anh,Monostori Balázs,[],0,3,13
Székács Gergely,Radnóti Gábor,[],3,2,14
Székács Gergely,Lengyel Zoltán,[],3,2,2
Székács Gergely,Szabó László Vince,[],3,2,6
Székács Gergely,Monostori Balázs,[],0,3,10
Révai Péter,Radnóti Gábor,[],3,0,11
Révai Péter,Lengyel Zoltán,[],1,3,15
Révai Péter,Szabó László Vince,[],0,3,3
Révai Péter,Monostori Balázs,[],0,3,7
Nincs játékos,Radnóti Gábor,[],0,3,8
Nincs játékos,Lengyel Zoltán,[],0,3,12
Nincs játékos,Szabó László Vince,[],0,3,16
Nincs játékos,Monostori Balázs,[],0,3,4
