home_player,away_player,sets,resulthome,resultaway,match_number
Rohovszky László Dr.,Dorogi Péter,[],3,0,1
Rohovszky László Dr.,Dósay Tamás,[],3,0,5
Rohovszky László Dr.,Szántó Sándor,[],3,0,9
Rohovszky László Dr.,Klampár Tibor,[],0,3,13
Bencsik Gergely,Dorogi Péter,[],3,0,14
Bencsik Gergely,Dósay Tamás,[],3,2,2
Bencsik Gergely,Szántó Sándor,[],3,0,6
Bencsik Gergely,Klampár Tibor,[],0,3,10
Borbás Tibor,Dorogi Péter,[],3,0,11
Borbás Tibor,Dósay Tamás,[],3,2,15
Borbás Tibor,Szántó Sándor,[],0,3,3
Borbás Tibor,Klampár Tibor,[],0,3,7
Szajkó Lajos,Dorogi Péter,[],3,0,8
Szajkó Lajos,Dósay Tamás,[],3,2,12
Szajkó Lajos,Szántó Sándor,[],2,3,16
Szajkó Lajos,Klampár Tibor,[],0,3,4
