position,name,license,team,matches,wins,win_percentage
1.,Klampár Tibor,10316,Shopsport SE,104,104,100%
2.,Arató János,9258,Lendület SE II.-Ybl Tervező,112,104,92.86%
3.,Takács Lajos,9455,HCTC-M-K AK II.-WASABI,112,99,88.39%
4.,Mikes József,11552,Ferencvárosi Vasutas SK,108,94,87.04%
5.,Takács  Attila,16944,HCTC-M-K AK II.-WASABI,112,96,85.71%
6.,Babicz Mihály,8748,Ikarus BSE II.,109,86,78.9%
7.,Markovits I Tamás,9821,Puskás DSK II.,101,76,75.25%
8.,Szétag Attila,8716,ABC Centerline III.,112,84,75%
9.,Lehel László,9822,Puskás DSK II.,105,72,68.57%
10.,Szántó Sándor,10195,Shopsport SE,104,60,57.69%
11.,Bándy Béla,10130,Lendület SE II.-Ybl Tervező,108,53,49.07%
12.,Szétag-Thész Dorottya,8419,ABC Centerline III.,104,50,48.08%
13.,Makai Ákos,8691,ABC Centerline III.,112,48,42.86%
14.,Berec Tomislav,15121,Lendület SE II.-Ybl Tervező,112,44,39.29%
15.,Arató András,12765,Budai XI SE VI.-Dunaholding,104,39,37.5%
16.,Vass Mária,8750,Ikarus BSE II.,101,29,28.71%
17.,Borbás Tibor,11403,Szufla SE IV.,104,27,25.96%
18.,Takács-Szentiványi Ildikó,16945,HCTC-M-K AK II.-WASABI,104,23,22.12%
