position,name,license,team,matches,wins,win_percentage
1.,Tihanyi Péter,16128,Postás SE II.,112,110,98.21%
2.,Lőrinczi Róbert,12363,Postás SE II.,120,116,96.67%
3.,Huzsvár Erik Bendegúz,15713,KSI SE IV.,64,57,89.06%
4.,Artner László,16127,Postás SE II.,88,78,88.64%
5.,Matulai Csaba,12647,Hercules-Neting Team,96,82,85.42%
6.,Csikos Ferenc,8217,Szufla SE I.-Kerepes,116,97,83.62%
7.,Frank László,9631,Vármajori SE I.,109,91,83.49%
8.,Nemes György,15926,Hercules-Neting Team,100,83,83%
9.,Seres Árpád,8386,Pénzügyőr SE V.,64,51,79.69%
10.,Medgyes Egon,16190,Kispest SE I.,120,95,79.17%
11.,Kaposi Tibor,13115,Vármajori SE I.,77,58,75.32%
12.,Gyuris Alajos Tibor,16202,Kispest SE I.,120,89,74.17%
13.,Kemenczés Zsolt,8664,Vármajori SE I.,89,66,74.16%
14.,Mühl Ágnes,9176,MVM SE I.,64,46,71.88%
15.,Abádi Márton,11256,Postás SE I.,100,68,68%
16.,Bere László,8907,Vármajori SE I.,93,62,66.67%
17.,Guttmann Krisztián,8205,Budai XI SE I.,112,74,66.07%
18.,Samu Zoltán,8644,Pénzügyőr SE V.,104,68,65.38%
19.,Xiong Shao,13384,FKF Zrt. SK I.,116,74,63.79%
20.,Krajczár István,12906,MAVEX SE III.,112,71,63.39%
21.,Sziller Árpád József,10570,Hercules-Neting Team,108,68,62.96%
22.,Cseri Dániel,10677,Hercules-Neting Team,96,60,62.5%
23.,Lucz  Bertold,9621,MAVEX SE III.,108,66,61.11%
24.,Urbán Erika,9375,MVM SE I.,104,63,60.58%
25.,Németh Dávid,11047,Szufla SE I.-Kerepes,112,67,59.82%
,Csiszár Gábor,12144,MAFC I.,112,67,59.82%
27.,Frei Péter,8269,KSI SE III.,108,64,59.26%
28.,Juhász László,9528,Kispest SE I.,120,69,57.5%
,Nagy Géza,9751,FKF Zrt. SK I.,120,69,57.5%
30.,Ujvári Máté,15141,KSI SE IV.,100,56,56%
,Töltl Márton,13755,Pénzügyőr SE VI.,100,56,56%
32.,Szabó László,9347,KSI SE IV.,116,63,54.31%
33.,Bódis Attila,9553,MAFC I.,120,65,54.17%
34.,Mannah Kinán dr,11257,Ikarus BSE I.,120,64,53.33%
35.,Uhrin Ede,16132,Postás SE II.,108,57,52.78%
36.,Szabó László,9698,Budai XI SE I.,116,61,52.59%
37.,Endrényi Gábor,9550,KSI SE III.,100,52,52%
38.,Várady Ágnes,8138,MVM SE I.,108,56,51.85%
39.,Vadász Csaba,8354,Pénzügyőr SE V.,60,31,51.67%
40.,Kopasz Tibor,8833,MAVEX SE III.,92,47,51.09%
41.,Simon Gergő,12818,Pénzügyőr SE V.,96,49,51.04%
42.,Szűcs Béla,8392,MVM SE I.,100,51,51%
43.,Frecska Sándor,9605,FKF Zrt. SK I.,120,58,48.33%
44.,Nagy Attila,11736,Ikarus BSE I.,120,57,47.5%
45.,Várhelyi István Balázs,8433,Ikarus BSE I.,60,28,46.67%
46.,Novothny-Farkas Csaba,10100,Szufla SE I.-Kerepes,104,48,46.15%
47.,Bordás József,11246,Kispest SE I.,92,40,43.48%
48.,Gönczöl Péter,9392,MVM SE I.,104,43,41.35%
49.,Endrédy Miklós,9549,KSI SE III.,84,34,40.48%
50.,Szalai István,10747,Postás SE I.,120,48,40%
51.,Botyánszki László,9195,Postás SE I.,96,38,39.58%
52.,Pályi Attila,9940,Budai XI SE I.,120,46,38.33%
53.,Muzsik János,12197,FKF Zrt. SK I.,84,31,36.9%
54.,Béniám Krisztián,9693,Vármajori SE I.,68,24,35.29%
55.,Horváth Miklós,8382,Pénzügyőr SE VI.,100,33,33%
56.,Szabó Gergely,8683,Budai XI SE I.,112,33,29.46%
57.,Bátorfi István dr,10749,Postás SE I.,108,31,28.7%
58.,Wlacsil Gábor,9628,MAVEX SE III.,92,26,28.26%
59.,Bódis Ádám,8163,MAFC I.,112,28,25%
60.,Pecsenyánszky István,9569,MAFC I.,108,25,23.15%
61.,Muszta Csaba,10176,Pénzügyőr SE VI.,108,24,22.22%
62.,Dudás István,9086,KSI SE IV.,112,20,17.86%
63.,Németh Katalin,9557,KSI SE III.,64,11,17.19%
64.,Göndöcs Zoltán,9232,Ikarus BSE I.,116,14,12.07%
65.,Kapus Ferenc,10356,Pénzügyőr SE VI.,112,13,11.61%
66.,Kovács Zoltán,11787,Szufla SE I.-Kerepes,100,4,4%
