home_player,away_player,sets,resulthome,resultaway,match_number
Soproni József,Nincs játékos,[],3,0,1
Soproni József,Rajmon Attila,[],3,0,5
Soproni József,Béniám Krisztián,[],2,3,9
Soproni József,Sinka Csaba,[],1,3,13
Farkas Zoltán,Nincs játékos,[],3,0,14
Farkas Zoltán,Rajmon Attila,[],3,0,2
Farkas Zoltán,Béniám Krisztián,[],0,3,6
Farkas Zoltán,Sinka Csaba,[],1,3,10
Bognár Bendegúz,Nincs játékos,[],3,0,11
Bognár Bendegúz,Rajmon Attila,[],3,0,15
Bognár Bendegúz,Béniám Krisztián,[],1,3,3
Bognár Bendegúz,Sinka Csaba,[],0,3,7
Szarka Béla,Nincs játékos,[],3,0,8
Szarka Béla,Rajmon Attila,[],3,1,12
Szarka Béla,Béniám Krisztián,[],3,0,16
Szarka Béla,Sinka Csaba,[],3,1,4
