home_player,away_player,sets,resulthome,resultaway,match_number
Sághi József,Fábián Ferenc,[],0,3,1
Sághi József,Huszár Zoltán,[],3,2,5
Sághi József,Mucsina István,[],3,2,9
Sághi József,Stirling Tamás dr.,[],1,3,13
Vitéz Gábor,Fábián Ferenc,[],3,1,14
Vitéz Gábor,Huszár Zoltán,[],3,1,2
Vitéz Gábor,Mucsina István,[],3,1,6
Vitéz Gábor,Stirling Tamás dr.,[],2,3,10
Vagyóczki András,Fábián Ferenc,[],2,3,11
Vagyóczki András,Huszár Zoltán,[],3,1,15
Vagyóczki András,Mucsina István,[],3,0,3
Vagyóczki András,Stirling Tamás dr.,[],3,1,7
Marsó VilmosPaál György,Fábián Ferenc,[],2,3,8
Marsó VilmosPaál György,Huszár Zoltán,[],3,0,12
Marsó VilmosPaál György,Mucsina István,[],1,3,16
Marsó VilmosPaál György,Stirling Tamás dr.,[],0,3,4
