home_player,away_player,sets,resulthome,resultaway,match_number
,Sipos Zoltán,[],3,1,1
,Sponga Sándor,[],3,2,5
,Kun Lívia,[],3,1,9
,Juhász-Vedres Sándor ifj.,[],0,3,13
Babusa Sándor,Sipos Zoltán,[],3,2,14
Babusa Sándor,Sponga Sándor,[],3,1,2
Babusa Sándor,Kun Lívia,[],3,0,6
Babusa Sándor,Juhász-Vedres Sándor ifj.,[],3,2,10
Kardos Géza,Sipos Zoltán,[],1,3,11
Kardos Géza,Sponga Sándor,[],3,0,15
Kardos Géza,Kun Lívia,[],3,0,3
Kardos Géza,Juhász-Vedres Sándor ifj.,[],3,0,7
,Sipos Zoltán,[],1,3,8
,Sponga Sándor,[],2,3,12
,Kun Lívia,[],2,3,16
,Juhász-Vedres Sándor ifj.,[],3,0,4
