home_player,away_player,sets,resulthome,resultaway,match_number
Krajczár István,Szabó Antal,[],3,1,1
Krajczár István,Bardócz Natália,[],3,0,5
Krajczár István,Nagy Attila,[],3,1,9
Krajczár István,Mannah Kinán dr,[],3,0,13
Kopasz Tibor,Szabó Antal,[],3,2,14
Kopasz Tibor,Bardócz Natália,[],3,0,2
Kopasz Tibor,Nagy Attila,[],1,3,6
Kopasz Tibor,Mannah Kinán dr,[],1,3,10
Antal Imre,Szabó Antal,[],1,3,11
Antal Imre,Bardócz Natália,[],3,0,15
Antal Imre,Nagy Attila,[],3,1,3
Antal Imre,Mannah Kinán dr,[],3,1,7
Rozsnyai Tibor,Szabó Antal,[],3,1,8
Rozsnyai Tibor,Bardócz Natália,[],3,1,12
Rozsnyai Tibor,Nagy Attila,[],0,3,16
Rozsnyai Tibor,Mannah Kinán dr,[],2,3,4
