home_player,away_player,sets,resulthome,resultaway,match_number
Kovács Attila,Dorogi Péter,[],3,2,1
Kovács Attila,Szántó Sándor,[],3,1,5
Kovács Attila,Dósay Tamás,[],3,1,9
Kovács Attila,Klampár Tibor,[],0,3,13
Schmidt Attila,Dorogi Péter,[],3,1,14
Schmidt Attila,Szántó Sándor,[],3,2,2
Schmidt Attila,Dósay Tamás,[],1,3,6
Schmidt Attila,Klampár Tibor,[],0,3,10
Katus Ferenc,Dorogi Péter,[],3,2,11
Katus Ferenc,Szántó Sándor,[],3,0,15
Katus Ferenc,Dósay Tamás,[],3,2,3
Katus Ferenc,Klampár Tibor,[],0,3,7
Falusi István,Dorogi Péter,[],3,0,8
Falusi István,Szántó Sándor,[],1,3,12
Falusi István,Dósay Tamás,[],3,0,16
Falusi István,Klampár Tibor,[],0,3,4
