home_player,away_player,sets,resulthome,resultaway,match_number
Vancsura György,Zsigmond Olivér dr.,[],3,2,1
Vancsura György,Hegyi László,[],3,1,5
Vancsura György,Georgopulosz Vaszilisz,[],1,3,9
Vancsura György,Frecska Sándor,[],2,3,13
Rugási László,Zsigmond Olivér dr.,[],0,3,14
Rugási László,Hegyi László,[],3,0,2
Rugási László,Georgopulosz Vaszilisz,[],3,0,6
Rugási László,Frecska Sándor,[],3,1,10
Prinyi Csaba,Zsigmond Olivér dr.,[],3,1,11
Prinyi Csaba,Hegyi László,[],2,3,15
Prinyi Csaba,Georgopulosz Vaszilisz,[],0,3,3
Prinyi Csaba,Frecska Sándor,[],3,1,7
Olbort Attila,Zsigmond Olivér dr.,[],0,3,8
Olbort Attila,Hegyi László,[],1,3,12
Olbort Attila,Georgopulosz Vaszilisz,[],1,3,16
Olbort Attila,Frecska Sándor,[],2,3,4
