position,name,license,team,matches,wins,win_percentage
1.,Nemes György,15926,Pénzügyőr SE VII.,100,98,98%
2.,Csikos Ferenc,8217,SZUFLA SE I.-Kerepes,112,105,93.75%
3.,Matulai Csaba,12647,Hercules-Neting Team,93,84,90.32%
4.,Sziller Árpád József,10570,Hercules-Neting Team,92,79,85.87%
5.,Szabó Attila,8640,Honvéd Zrínyi SE I.,84,70,83.33%
6.,Szabó László,9347,KSI SE IV.,100,82,82%
7.,Ilosvai Brigitta,9078,KSI SE V.,101,80,79.21%
8.,Cseri Dániel,10677,Hercules-Neting Team,105,82,78.1%
9.,Pintér Róbert,10371,Budai XI. SE II.,92,68,73.91%
10.,Novothny-Farkas Csaba,10100,SZUFLA SE I.-Kerepes,112,82,73.21%
11.,Pergel János,11634,Pénzügyőr SE VII.,96,70,72.92%
12.,Tóth Károly,8413,ABC Centerline I.,96,69,71.88%
13.,Keresztény Ádám,12284,BVSC-Zugló SI IV.,92,66,71.74%
14.,Kollár Tamás,10419,Budai XI. SE II.,96,67,69.79%
15.,Márkus István,11936,SZUFLA SE II.,92,64,69.57%
16.,Pálfy János Jakab,14112,BVSC-Zugló SI IV.,76,52,68.42%
17.,Laskovics Levente,9816,SZUFLA SE II.,108,72,66.67%
,Marossy Dénes,14424,BVSC-Zugló SI IV.,96,64,66.67%
19.,Németh Dávid,11047,SZUFLA SE I.-Kerepes,108,70,64.81%
20.,Mayer József,9088,KSI SE IV.,100,63,63%
21.,Losonczi Benjamin,14456,Budai XI. SE II.,88,55,62.5%
22.,Dobi László,12580,MAFC II.,84,49,58.33%
,Molnár Tibor,8870,MAFC II.,84,49,58.33%
24.,Fail György,8568,ABC Centerline I.,96,55,57.29%
25.,Vancsura György,8519,KSI SE V.,93,52,55.91%
26.,Szabó Tamás,13905,Hercules-Neting Team,61,33,54.1%
27.,Nagy Ferenc,10197,ANY Biztonsági SK I.,100,54,54%
28.,Halmi István,12412,BVSC-Zugló Senior I.,104,56,53.85%
29.,Dudás István,9086,KSI SE IV.,112,60,53.57%
30.,Tóth Tamás,8164,MAFC II.,96,51,53.13%
31.,Geiger János,12393,BVSC-Zugló Senior I.,100,53,53%
32.,Muszta Csaba,10176,Pénzügyőr SE VII.,68,36,52.94%
33.,Sági Csaba,11812,Hercules-Neting Team,60,31,51.67%
34.,Maczenkó Ferenc,8637,Honvéd Zrínyi SE I.,76,39,51.32%
35.,Horváth Miklós,8382,Pénzügyőr SE VII.,68,34,50%
36.,Pinczés Attila,8651,Honvéd Zrínyi SE I.,80,39,48.75%
37.,Vitéz Gábor,9673,KSI SE V.,105,51,48.57%
38.,Horváth Kálmán,15579,SZUFLA SE II.,112,54,48.21%
39.,Fegyver Gyula,12829,KSI Senior-KÖZGÁZ SC és DSK,96,44,45.83%
40.,Katus Ferenc,9896,MAFC II.,68,31,45.59%
41.,Szabó István,10374,Budai XI. SE II.,76,34,44.74%
42.,Szabó József,12483,SZUFLA SE II.,80,34,42.5%
43.,Mühl Gabriella,11512,Honvéd Zrínyi SE I.,112,46,41.07%
44.,Tisza Balázs,13551,KSI Senior-KÖZGÁZ SC és DSK,96,37,38.54%
45.,Juhász-Vedres Sándor,12394,BVSC-Zugló Senior I.,92,35,38.04%
46.,Nagy Ferenc,8435,KSI SE V.,57,21,36.84%
47.,Kapus Ferenc,10356,Pénzügyőr SE VII.,100,36,36%
48.,Plaschil Róbert,15144,Erzsébeti Hajós II.,69,24,34.78%
49.,Balog István,8747,ABC Centerline I.,88,29,32.95%
50.,Bősz Gábor,8566,ABC Centerline I.,92,30,32.61%
51.,Olbort Attila,9548,KSI Senior-KÖZGÁZ SC és DSK,88,28,31.82%
52.,Matis Ferenc,9092,KSI SE IV.,96,30,31.25%
53.,Szőnyi Márta,10105,KSI SE V.,60,17,28.33%
54.,Palágyi Tivadar,10208,ANY Biztonsági SK I.,100,25,25%
55.,Győrffy Sándor,10190,ANY Biztonsági SK I.,100,22,22%
56.,Sári László,9817,SZUFLA SE II.,56,11,19.64%
57.,Farkas Zoltán,11861,Erzsébeti Hajós II.,65,12,18.46%
58.,Borisza Gyula,9554,KSI Senior-KÖZGÁZ SC és DSK,56,9,16.07%
59.,Vadnai Vince,13226,BVSC-Zugló Senior I.,72,11,15.28%
60.,Kovács Zoltán,11787,SZUFLA SE I.-Kerepes,104,13,12.5%
61.,Kékedi Tibor,9555,KSI Senior-KÖZGÁZ SC és DSK,56,6,10.71%
62.,Groszmanné Haász Judit,16198,Erzsébeti Hajós II.,76,8,10.53%
63.,Jászay László,8112,ANY Biztonsági SK I.,88,9,10.23%
64.,Márkus Zoltán,11361,Erzsébeti Hajós II.,69,7,10.14%
