home_player,away_player,sets,resulthome,resultaway,match_number
Monostori Balázs,Bencsik Gergely,[],3,1,1
Monostori Balázs,Németh Bence,[],1,3,5
Monostori Balázs,Farkas Ágnes,[],3,1,9
Monostori Balázs,Tóth Zsolt,[],3,2,13
Lőrincz Sándor,Bencsik Gergely,[],2,3,14
Lőrincz Sándor,Németh Bence,[],3,0,2
Lőrincz Sándor,Farkas Ágnes,[],1,3,6
Lőrincz Sándor,Tóth Zsolt,[],0,3,10
Szőnyi Márta,Bencsik Gergely,[],3,1,11
Szőnyi Márta,Németh Bence,[],2,3,15
Szőnyi Márta,Farkas Ágnes,[],1,3,3
Szőnyi Márta,Tóth Zsolt,[],1,3,7
Kőszeghy Viktória,Bencsik Gergely,[],3,0,8
Kőszeghy Viktória,Németh Bence,[],3,2,12
Kőszeghy Viktória,Farkas Ágnes,[],2,3,16
Kőszeghy Viktória,Tóth Zsolt,[],3,1,4
