position,name,license,team,matches,wins,win_percentage
1.,Héjj Tamás,8954,Pestszentimrei PSE IV.,104,104,100%
2.,Kriston Zsolt,8496,Pestszentimrei PSE IV.,91,90,98.9%
3.,Hertelendy Amadó,13888,BKV Előre SC I.,112,100,89.29%
4.,Soproni József,9057,MALÉV SC I.,84,70,83.33%
,Vadász Csaba,8354,Pénzügyőr SE V.,60,50,83.33%
6.,Horgonyi-Szabó Árpád,14774,Pénzügyőr SE V.,96,78,81.25%
7.,Harsányi Zsolt Tamás,16932,Pénzügyőr SE V.,112,89,79.46%
8.,Tóth Renátó,13884,VEMAX SE IV.,72,56,77.78%
9.,Horváth Kálmán,15579,GALAXIS VSE I.,112,87,77.68%
10.,Halász András,8441,BKV Előre SC I.,96,72,75%
11.,Lipka Zsolt,10590,Pénzügyőr SE V.,101,75,74.26%
12.,Bodon Attila,19781,KSI SE III.,76,56,73.68%
13.,Simon Péter,19728,GALAXIS VSE I.,92,67,72.83%
14.,Alaksa Levente,13746,BKV Előre SC I.,100,72,72%
15.,Bali Péter,9169,ESMTK II.,101,72,71.29%
16.,Hagymási András,8243,KSI SE III.,88,60,68.18%
17.,Bakonyi Bertalan,15497,BEAC III.,80,53,66.25%
18.,Komár János,8304,BKV Előre SC I.,68,44,64.71%
19.,Szabó Miklós,13911,BEAC III.,76,49,64.47%
20.,Botár Attila,12343,Törekvés SE,105,66,62.86%
21.,Gyuris Alajos Tibor,16202,Kispest SE II.,56,35,62.5%
22.,Váry Zsombor,20088,BVSC-Zugló V.,104,62,59.62%
23.,Tokai Imre,19004,Budai XI SE IV.,68,40,58.82%
24.,Krisztl Péter,20154,BVSC-Zugló V.,108,62,57.41%
25.,Takács  Attila,16944,High Life SE I.-WASABI,112,64,57.14%
,Gyöngyössy György,19054,High Life SE I.-WASABI,98,56,57.14%
27.,Radu Doru,16305,Kispest SE II.,64,36,56.25%
28.,Strobel Soma,15110,ESMTK II.,86,48,55.81%
29.,Stirling Tamás dr.,11591,Angyalföldi TTE I.,104,57,54.81%
30.,Gál Attila,18951,Budai XI SE IV.,88,48,54.55%
31.,Szalai István,10747,Törekvés SE,112,61,54.46%
32.,Takáts Fanni dr.,15824,BEAC III.,84,45,53.57%
33.,Pergel János,11634,Pestszentimrei PSE IV.,90,45,50%
,Gőgh József,17729,Budai XI SE IV.,88,44,50%
,Juhász László,9528,KSI SE III.,62,31,50%
36.,Kirchmayer Richárd,13893,ESMTK II.,77,38,49.35%
37.,Gyöngyössy György ifj.,16666,High Life SE I.-WASABI,108,53,49.07%
38.,Szekulesz Péter,10422,BEAC III.,88,43,48.86%
39.,Szalay József,9453,Kispest SE II.,67,32,47.76%
40.,Szalay-Berzeviczy Flóra,20146,BVSC-Zugló V.,96,44,45.83%
41.,Seprős Richárd,14796,Budai XI SE IV.,76,34,44.74%
42.,Király Attila,19014,BVSC-Zugló V.,96,42,43.75%
43.,Gubai György,18402,GALAXIS VSE I.,84,36,42.86%
44.,Éll József,14104,Pénzügyőr SE V.,61,26,42.62%
45.,Gulyás István,8754,KSI SE III.,100,42,42%
46.,Kovács Szilárd,14571,ESMTK II.,74,31,41.89%
47.,Kakas Norbert,17421,MALÉV SC I.,104,43,41.35%
48.,Orosz Ferenc,8353,Törekvés SE,80,31,38.75%
49.,Pataki Bálint Szabolcs,19825,Pestszentimrei PSE IV.,87,31,35.63%
50.,Tóth Márta,11624,Törekvés SE,97,34,35.05%
51.,Kálnoky Diána Tímea,17829,BEAC III.,60,19,31.67%
52.,Ambrus Ákos,21281,MALÉV SC I.,92,28,30.43%
53.,Dudás István,9086,KSI SE III.,74,22,29.73%
54.,Szabó József,12483,Angyalföldi TTE I.,92,26,28.26%
55.,Bálint Sándor,16679,VEMAX SE IV.,76,20,26.32%
56.,Péntek Tibor,9572,Kispest SE II.,73,19,26.03%
57.,Bercsényi Tibor,14185,Kispest SE II.,92,23,25%
,Matis Ferenc,9092,VEMAX SE IV.,56,14,25%
59.,Keresztesi László,19747,VEMAX SE IV.,84,18,21.43%
60.,Sztranyan János,17956,GALAXIS VSE I.,74,15,20.27%
61.,Mucsina István,10699,Angyalföldi TTE I.,104,18,17.31%
62.,Fábián Ferenc,15724,Angyalföldi TTE I.,92,14,15.22%
63.,Takács-Szentiványi Ildikó,16945,High Life SE I.-WASABI,104,14,13.46%
64.,Oláh Levente,21667,MALÉV SC I.,60,3,5%
