home_player,away_player,sets,resulthome,resultaway,match_number
Muzsik János,Máthé János,[],3,0,1
Muzsik János,Kurilla János,[],3,0,5
Muzsik János,Hatházi Árpád,[],3,0,9
Muzsik János,Raksányi Géza,[],3,0,13
Neuhold Gábor,Máthé János,[],3,2,14
Neuhold Gábor,Kurilla János,[],3,1,2
Neuhold Gábor,Hatházi Árpád,[],3,0,6
Neuhold Gábor,Raksányi Géza,[],3,1,10
Új játékos1,Máthé János,[],3,0,11
Új játékos1,Kurilla János,[],0,3,15
Új játékos1,Hatházi Árpád,[],0,3,3
Új játékos1,Raksányi Géza,[],0,3,7
Lukács Dániel,Máthé János,[],3,0,8
Lukács Dániel,Kurilla János,[],3,1,12
Lukács Dániel,Hatházi Árpád,[],3,0,16
Lukács Dániel,Raksányi Géza,[],3,0,4
