home_player,away_player,sets,resulthome,resultaway,match_number
Juhász László,Vancsura György,[],3,1,1
Juhász László,Borisza Gyula,[],3,1,5
Juhász László,Prinyi Csaba,[],2,3,9
Juhász László,Rugási László,[],3,1,13
Szabó László,Vancsura György,[],2,3,14
Szabó László,Borisza Gyula,[],3,1,2
Szabó László,Prinyi Csaba,[],3,0,6
Szabó László,Rugási László,[],3,2,10
Dudás István,Vancsura György,[],1,3,11
Dudás István,Borisza Gyula,[],3,2,15
Dudás István,Prinyi Csaba,[],0,3,3
Dudás István,Rugási László,[],0,3,7
Németh Pál,Vancsura György,[],1,3,8
Németh Pál,Borisza Gyula,[],3,2,12
Németh Pál,Prinyi Csaba,[],1,3,16
Németh Pál,Rugási László,[],3,2,4
