home_player,away_player,sets,resulthome,resultaway,match_number
Nagy Gábor Zsolt,Dobi László,[],1,3,1
Nagy Gábor Zsolt,Tóth Attila,[],3,1,5
Nagy Gábor Zsolt,Csiszár Gábor,[],0,3,9
Nagy Gábor Zsolt,Bódis Attila,[],3,1,13
Kisgéczi Domonkos,Dobi László,[],2,3,14
Kisgéczi Domonkos,Tóth Attila,[],0,3,2
Kisgéczi Domonkos,Csiszár Gábor,[],2,3,6
Kisgéczi Domonkos,Bódis Attila,[],3,1,10
Horgonyi-Szabó Árpád,Dobi László,[],0,3,11
Horgonyi-Szabó Árpád,Tóth Attila,[],3,2,15
Horgonyi-Szabó Árpád,Csiszár Gábor,[],0,3,3
Horgonyi-Szabó Árpád,Bódis Attila,[],3,1,7
Vadász Csaba,Dobi László,[],3,0,8
Vadász Csaba,Tóth Attila,[],3,0,12
Vadász Csaba,Csiszár Gábor,[],3,2,16
Vadász Csaba,Bódis Attila,[],3,2,4
