home_player,away_player,sets,resulthome,resultaway,match_number
Borbély Andor,Kollár László,[],3,1,1
Borbély Andor,Erdélyi László,[],3,0,5
Borbély Andor,Leinweber Zoltán,[],1,3,9
Borbély Andor,Sipos Zoltán,[],1,3,13
Hargitai Bence,Kollár László,[],3,0,14
Hargitai Bence,Erdélyi László,[],0,3,2
Hargitai Bence,Leinweber Zoltán,[],0,3,6
Hargitai Bence,Sipos Zoltán,[],0,3,10
Boros László,Kollár László,[],3,1,11
Boros László,Erdélyi László,[],3,1,15
Boros László,Leinweber Zoltán,[],0,3,3
Boros László,Sipos Zoltán,[],3,0,7
Nincs játékos,Kollár László,[],0,3,8
Nincs játékos,Erdélyi László,[],0,3,12
Nincs játékos,Leinweber Zoltán,[],0,3,16
Nincs játékos,Sipos Zoltán,[],0,3,4
