position,name,license,team,matches,wins,win_percentage
1.,Lajtai Kristóf,14674,Palotai Titánok SE I.,113,113,100%
2.,Jónás Csaba,11283,Multi Sport SE I.,96,87,90.63%
3.,Kovács János,15523,HCTC-Magyar-Kínai AK I.,120,108,90%
4.,Botár Attila,12343,Törekvés SE,120,106,88.33%
5.,Kiss György,16270,FŐGÁZ Keszi-team I.,120,104,86.67%
6.,Misák István,10557,HCTC-Magyar-Kínai AK I.,116,100,86.21%
7.,Veress Barna Dániel,11337,KIWI SE,112,91,81.25%
8.,Mayer József,9088,KSI SE VII.,116,90,77.59%
9.,Harsányi Zsolt Tamás,16932,Pénzügyőr SE IX.,116,88,75.86%
10.,Graur Tamás,9942,Budai XI. SE V.,109,81,74.31%
11.,Sipos Zoltán,8301,BKV Előre  SC III.,116,82,70.69%
12.,Kelemen János,14073,KIWI SE,116,81,69.83%
13.,Kellner Attila,14052,Budai XI. SE V.,105,73,69.52%
14.,Uhrin Márton,14322,Csepeli VAKE I.,96,66,68.75%
15.,Erdei István,15763,Csepeli VAKE I.,120,80,66.67%
16.,Komjátszeghy Gyula,12816,KIWI SE,112,72,64.29%
17.,Borbély Andor,10085,Kőbánya SC II.,120,77,64.17%
18.,Kertész Gábor,15498,FŐGÁZ Keszi-team I.,100,64,64%
19.,Boros László,10086,Kőbánya SC II.,112,69,61.61%
20.,Falusi István,9577,MAFC III.-PANCHO,84,50,59.52%
21.,Molnár Levente,12820,Budai XI. SE V.,85,49,57.65%
22.,Bárány Attila,15501,HCTC-Magyar-Kínai AK I.,108,61,56.48%
23.,Éll József,14104,Pénzügyőr SE IX.,104,57,54.81%
24.,Klampár-Leskó Edina,10172,BKV Előre  SC III.,100,54,54%
25.,Pikó Imre,14325,Csepeli VAKE I.,120,64,53.33%
26.,Péhl Tamás,8583,Puskás DSK III.,116,61,52.59%
27.,Beregi József,16806,Palotai Titánok SE I.,105,55,52.38%
28.,Papp Sándor,17841,Palotai Titánok SE I.,117,60,51.28%
29.,Dibusz Tibor,17264,Multi Sport SE I.,92,47,51.09%
30.,Csima Viktor,8031,ESMTK III.,120,60,50%
31.,Orosz Ferenc,8353,Törekvés SE,92,45,48.91%
32.,Kovács Attila,12581,MAFC III.-PANCHO,88,42,47.73%
33.,Wehovszky Tamás,8563,KSI SE VII.,104,47,45.19%
34.,Kertai László,14324,Csepeli VAKE I.,100,45,45%
35.,Balázs Árpád,9666,Budai XI. SE V.,97,42,43.3%
36.,Petz László dr.,14072,KIWI SE,116,49,42.24%
37.,Biczó Márton,11254,MAFC III.-PANCHO,92,37,40.22%
38.,Bodon Ferenc dr.,17725,ESMTK III.,108,42,38.89%
39.,Mikulcza  Mátyás,13406,Törekvés SE,88,34,38.64%
40.,Kádár Mihály,9091,KSI SE VII.,104,39,37.5%
41.,Molnár Balázs,10168,KSI Senior-KFKI SK IV.,112,41,36.61%
42.,Erdélyi László,12193,BKV Előre  SC III.,116,42,36.21%
,Börzsey Béla,9828,Puskás DSK III.,116,42,36.21%
44.,Kovács Zoltán,8596,ESMTK III.,96,33,34.38%
45.,Kun Lívia,10174,BKV Előre  SC III.,84,26,30.95%
46.,Hanyecz József,16151,KSI Senior-KFKI SK IV.,100,29,29%
47.,Groszmanné Haász Judit,16198,ESMTK III.,92,26,28.26%
48.,Csizmás Ferenc,12931,Multi Sport SE I.,112,27,24.11%
49.,Fejsza János,15857,KSI Senior-KFKI SK IV.,104,25,24.04%
50.,Szijártó József,8561,KSI SE VII.,96,23,23.96%
51.,Szilágyi László,10107,Kőbánya SC II.,116,27,23.28%
52.,Gulyás István,10349,KSI Senior-KFKI SK IV.,116,22,18.97%
53.,Pap Jenő,11252,Puskás DSK III.,92,10,10.87%
