home_player,away_player,sets,resulthome,resultaway,match_number
Csonka Zoltán,Lucz  Bertold,[],3,2,1
Csonka Zoltán,Xiong Shao,[],3,0,5
Csonka Zoltán,Tóth András,[],3,1,9
Csonka Zoltán,Antal Imre,[],1,3,13
Futó Molnár Ferenc,Lucz  Bertold,[],0,3,14
Futó Molnár Ferenc,Xiong Shao,[],0,3,2
Futó Molnár Ferenc,Tóth András,[],0,3,6
Futó Molnár Ferenc,Antal Imre,[],0,3,10
Leidal Csaba,Lucz  Bertold,[],3,2,11
Leidal Csaba,Xiong Shao,[],3,1,15
Leidal Csaba,Tóth András,[],3,0,3
Leidal Csaba,Antal Imre,[],0,3,7
Szarka Béla,Lucz  Bertold,[],3,2,8
Szarka Béla,Xiong Shao,[],3,0,12
Szarka Béla,Tóth András,[],3,2,16
Szarka Béla,Antal Imre,[],0,3,4
