home_player,away_player,sets,resulthome,resultaway,match_number
Harsányi Zsolt Tamás,Populás György,[],0,3,1
Harsányi Zsolt Tamás,Zacher Gizella,[],3,2,5
Harsányi Zsolt Tamás,Tar Csaba,[],3,1,9
Harsányi Zsolt Tamás,Kávássy Lóránd,[],3,1,13
Nagy Gergely,Populás György,[],3,1,14
Nagy Gergely,Zacher Gizella,[],3,0,2
Nagy Gergely,Tar Csaba,[],3,1,6
Nagy Gergely,Kávássy Lóránd,[],3,1,10
Éll József,Populás György,[],0,3,11
Éll József,Zacher Gizella,[],1,3,15
Éll József,Tar Csaba,[],0,3,3
Éll József,Kávássy Lóránd,[],1,3,7
Fehérhegyi Attila,Populás György,[],2,3,8
Fehérhegyi Attila,Zacher Gizella,[],0,3,12
Fehérhegyi Attila,Tar Csaba,[],2,3,16
Fehérhegyi Attila,Kávássy Lóránd,[],3,0,4
