position,name,license,team,matches,wins,win_percentage
1.,Gőgh József,17729,Budai XI SE VII.,108,92,85.19%
2.,Gárdai Csaba,11245,KIWI SE,104,87,83.65%
3.,Mórocz Tamás,14056,SZÜV ASE,104,85,81.73%
4.,Szabó András,10688,Pestújhelyi SC IV.,108,86,79.63%
5.,Fodor Csaba Artúr,17620,KSI SE VII.,112,89,79.46%
6.,Nagy János,18377,Csepeli Vállalkozók AKE I.,100,79,79%
7.,Pölöskei András,14054,SZÜV ASE,96,73,76.04%
8.,Stefán Ábel,17745,KSI SE VII.,96,72,75%
9.,Kapuszta Csaba,10691,Pestújhelyi SC IV.,112,83,74.11%
10.,Stirling Tamás dr.,11591,Szufla SE V.-Ragazzart,112,82,73.21%
11.,Tokai Imre,19004,Budai XI SE VII.,96,68,70.83%
12.,Klampár Tibor Kirill,18430,KSI SE VII.,116,81,69.83%
13.,Visnyánszky Mihály,8297,BKV Előre  SC III.,108,72,66.67%
14.,Kelemen János,14073,KIWI SE,108,71,65.74%
15.,Szőts Viktor,18407,Puskás DSK III.,120,73,60.83%
16.,Szabó László,11941,Budai XI SE VIII.-Őrmező,100,59,59%
17.,Halászi Attila,8962,MAFC IV.-EMKÁBÉ,108,63,58.33%
18.,Mucsina István,10699,Szufla SE V.-Ragazzart,108,62,57.41%
,Czirják Gábor,8307,BKV Előre  SC III.,108,62,57.41%
20.,Szamkó István,9630,Honvéd Zrínyi SE II.,116,66,56.9%
21.,Pató Gábor,12076,Pestújhelyi SC IV.,112,62,55.36%
22.,Bálint Sándor,16679,FŐGÁZ Keszi-team I.,116,63,54.31%
23.,Pikó Imre,14325,Csepeli Vállalkozók AKE I.,96,52,54.17%
24.,Kocsor Péter,18379,Budai XI SE IX.-Meteorok,100,54,54%
25.,Bercsényi Tibor,14185,Kispest SE V.,96,48,50%
26.,Uhrin Zsolt,17599,Budai XI SE VIII.-Őrmező,116,54,46.55%
27.,Lippai László,8635,Honvéd Zrínyi SE II.,96,41,42.71%
28.,Metykó László,15848,BKV Előre  SC III.,108,46,42.59%
29.,Kollát Miklós,14053,SZÜV ASE,116,48,41.38%
30.,Huszár Zoltán,10709,Szufla SE V.-Ragazzart,112,44,39.29%
31.,Szénás József,13852,MAFC IV.-EMKÁBÉ,104,40,38.46%
32.,Fábián Ferenc,15724,Szufla SE V.-Ragazzart,120,37,30.83%
33.,Bartha Zoltán,14055,SZÜV ASE,104,28,26.92%
