home_player,away_player,sets,resulthome,resultaway,match_number
Péhl Tamás,Hegedűs László,[],3,1,1
Péhl Tamás,Hatházi Árpád,[],3,0,5
Péhl Tamás,Cserepi Ferenc,[],3,1,9
Péhl Tamás,Raksányi Géza,[],2,3,13
Börzsey Béla,Hegedűs László,[],3,2,14
Börzsey Béla,Hatházi Árpád,[],3,0,2
Börzsey Béla,Cserepi Ferenc,[],2,3,6
Börzsey Béla,Raksányi Géza,[],3,0,10
Wietecha Pál,Hegedűs László,[],1,3,11
Wietecha Pál,Hatházi Árpád,[],2,3,15
Wietecha Pál,Cserepi Ferenc,[],0,3,3
Wietecha Pál,Raksányi Géza,[],0,3,7
Pap Jenő,Hegedűs László,[],1,3,8
Pap Jenő,Hatházi Árpád,[],3,2,12
Pap Jenő,Cserepi Ferenc,[],0,3,16
Pap Jenő,Raksányi Géza,[],0,3,4
