position,name,license,team,matches,wins,win_percentage
1.,Csonka Zoltán,8869,MALÉV SC III.,116,112,96.55%
2.,Kovács Ádám,11590,BVSC-Zugló Senior II.,109,104,95.41%
3.,Tanyi György,15609,Sanitas-BUDO SE III.-Autóklub,100,93,93%
4.,Dohoczki Tamás,8753,Sanitas-BUDO SE III.-Autóklub,108,99,91.67%
5.,Becker László,12746,MTK Budapest II.,97,82,84.54%
6.,Szántó Gyula,8281,Sanitas-BUDO SE III.-Autóklub,88,74,84.09%
7.,Weszelovszky Zoltán,10849,MTK Budapest II.,109,89,81.65%
8.,Sándor Tibor,9329,MALÉV SC III.,92,72,78.26%
9.,Vitos Klára,16549,ABC Centerline II.,108,80,74.07%
10.,Padla László,12582,ABC Centerline II.,116,85,73.28%
11.,Botár Attila,12343,Törekvés SE,116,84,72.41%
12.,Szarka Béla,8276,MALÉV SC III.,108,78,72.22%
13.,Pósfai László,9814,BKV Előre SC I.,112,79,70.54%
14.,Komár János,8304,BKV Előre SC I.,104,71,68.27%
15.,Dudás Balázs dr.,9510,BVSC-Zugló Senior II.,89,60,67.42%
16.,Halász András,8441,BKV Előre SC I.,120,80,66.67%
,Gulyás Imre,16816,Pestújhelyi SC III.,93,62,66.67%
18.,Vida Dávid,15032,BVSC-Zugló SI V.,104,68,65.38%
19.,Takács Dénes,9326,MALÉV SC III.,80,52,65%
20.,Steinbach Roland,16711,Sanitas-BUDO SE II.,116,74,63.79%
21.,Szűcs Gergely,13107,ABC Centerline II.,84,51,60.71%
22.,Gulyás István,8754,KSI Senior-KFKI SK II.,101,61,60.4%
23.,Kelemen József ifj.,10166,KSI Senior-KFKI SK II.,109,65,59.63%
24.,Keserű Dóra,9540,Vármajori SE II.,69,41,59.42%
25.,Kirchmayer Richárd,13893,ESMTK III.,117,66,56.41%
26.,Balogh Zsófia,9541,Vármajori SE II.,73,41,56.16%
27.,Orosz Ferenc,8353,Törekvés SE,84,47,55.95%
28.,Nguyen Anh Phuong,8216,Sanitas-BUDO SE II.,108,59,54.63%
29.,Kovács Krisztián,8677,Vármajori SE II.,96,52,54.17%
,Molnár Krisztián,15524,BVSC-Zugló SI V.,72,39,54.17%
31.,Szandi Nándor Mihály,12761,BVSC-Zugló Senior II.,117,63,53.85%
32.,Kellner Tamás,9450,MTK Budapest II.,69,37,53.62%
33.,Vadnai Vince,13226,BVSC-Zugló Senior II.,88,47,53.41%
34.,Székely László,16181,Sanitas-BUDO SE III.-Autóklub,96,51,53.13%
35.,Szabó András,10688,Pestújhelyi SC III.,105,54,51.43%
36.,Kricsfalusy Kornél,8763,Pénzügyőr SE VIII.,120,60,50%
,Serfel Norbert,15698,Pénzügyőr SE VIII.,92,46,50%
38.,Szakács Szilárd,8273,ESMTK III.,101,50,49.5%
39.,Papp Nándor,8420,ABC Centerline II.,96,45,46.88%
40.,Castillo-Hoós Marcell,13280,BVSC-Zugló SI V.,80,36,45%
41.,Bonnyainé Varga Éva,9963,BKV Előre SC I.,104,46,44.23%
42.,Krebs  Levente,15678,BVSC-Zugló SI V.,108,47,43.52%
43.,Wurth Sándor,13906,Sanitas-BUDO SE III.-Autóklub,72,29,40.28%
44.,Balogh József,12215,Pénzügyőr SE VIII.,84,33,39.29%
45.,Kuli István,11818,Sanitas-BUDO SE II.,76,28,36.84%
46.,Lőkös Csaba,10562,Sanitas-BUDO SE II.,84,29,34.52%
47.,Tóth Márta,11624,Törekvés SE,112,37,33.04%
48.,Zámbó Attila,10601,KSI Senior-KFKI SK II.,69,22,31.88%
49.,Arlóy Zsófia,8363,Törekvés SE,96,29,30.21%
50.,Tóth Dezső,11766,SZUFLA SE III.,112,33,29.46%
51.,Kovács Szilárd,14571,ESMTK II.,92,27,29.35%
52.,Farkas Zoltán,11861,ESMTK II.,108,31,28.7%
53.,Szabó József,13898,ESMTK III.,93,26,27.96%
54.,Szőke Zoltán,9185,SZUFLA SE III.,108,28,25.93%
55.,Bundula Csaba dr.,11765,SZUFLA SE III.,68,17,25%
56.,Szőke Ferenc,8985,KSI Senior-KFKI SK II.,96,22,22.92%
57.,Pató Gábor,12076,Pestújhelyi SC III.,101,23,22.77%
58.,Balázs Árpád,9666,MTK Budapest II.,109,23,21.1%
59.,Márkus Zoltán,11361,ESMTK II.,112,16,14.29%
60.,Borbás Tibor,11403,SZUFLA SE III.,108,14,12.96%
