home_player,away_player,sets,resulthome,resultaway,match_number
Kovács Ádám,Droppán Béla,[],1,3,1
Kovács Ádám,Domokos Róbert,[],3,0,5
Kovács Ádám,Takács Lajos,[],3,0,9
Kovács Ádám,Gyuris József,[],3,0,13
Újvári István,Droppán Béla,[],2,3,14
Újvári István,Domokos Róbert,[],2,3,2
Újvári István,Takács Lajos,[],0,3,6
Újvári István,Gyuris József,[],1,3,10
Barta Szilveszter,Droppán Béla,[],3,2,11
Barta Szilveszter,Domokos Róbert,[],3,1,15
Barta Szilveszter,Takács Lajos,[],1,3,3
Barta Szilveszter,Gyuris József,[],0,3,7
Dudás Balázs dr.,Droppán Béla,[],3,0,8
Dudás Balázs dr.,Domokos Róbert,[],3,0,12
Dudás Balázs dr.,Takács Lajos,[],3,2,16
Dudás Balázs dr.,Gyuris József,[],3,2,4
