position,name,license,team,matches,wins,win_percentage
1.,Kaszás László,10978,ESMTK III.,32,30,93.75%
2.,Pataki Diána,19558,High Life SE III.-Rossoneri,36,33,91.67%
,Shan Xianyi,19281,BVSC-Zugló IV.,36,33,91.67%
4.,Bali Péter,9169,ESMTK III.,28,25,89.29%
5.,Samu Zoltán,8644,BVSC-Zugló IV.,36,32,88.89%
6.,Schwáb Vilmos,17588,ABC Centerline II.,24,21,87.5%
7.,Monostori Balázs,9130,KSI SE VI.- MIKI I.,32,26,81.25%
8.,Gyenes Csaba,19849,Igazságügyi SC I.,36,29,80.56%
,Erdész Tibor,9021,Igazságügyi SC I.,36,29,80.56%
10.,Nagy Zoltán,11690,BEAC I.-PPKO,36,28,77.78%
11.,Penczner Endre,10101,Kőbánya SC II.,36,27,75%
,Neuhold Gábor,11227,BEAC I.-PPKO,28,21,75%
13.,Polonyi Tibor,19559,High Life SE III.-Rossoneri,36,26,72.22%
14.,Radu Doru,16305,Kispest SE III.,28,20,71.43%
15.,Pintér Róbert,10371,Budai XI. SE II.,24,17,70.83%
,Csongor Tamás,12992,ABC Centerline II.,24,17,70.83%
17.,Hanyecz Attila,10417,Budai XI. SE II.,20,14,70%
18.,Lelesz István,10099,Kőbánya SC II.,36,25,69.44%
19.,Kávássy Lóránd,14795,Belvárosi Asztalitenisz Egyesület,36,24,66.67%
,Nagy Zoltán,16328,ABC Centerline II.,36,24,66.67%
21.,Hachbold Tamás,12604,Pénzügyőr SE VI.,28,18,64.29%
22.,Évi Róbert,16947,ESMTK III.,30,19,63.33%
23.,Gulyás István,8754,KSI SE V.-KFKI II.,32,20,62.5%
24.,Mészáros Bálint,16749,BEAC I.-PPKO,34,21,61.76%
25.,Pillinger János,9672,Kőbánya SC II.,36,22,61.11%
,Nagy Ferenc,10197,BVSC-Zugló VI.-Veterán I.,36,22,61.11%
,Deliagosz Sztamatisz András,18273,BVSC-Zugló IV.,36,22,61.11%
28.,Erdész Ákos,11534,Igazságügyi SC I.,36,21,58.33%
,Varga Gergely,10421,Budai XI. SE II.,24,14,58.33%
30.,Szarvas Tamás,16733,BEAC I.-PPKO,19,11,57.89%
31.,Strobel Soma,15110,ESMTK III.,18,10,55.56%
32.,Kollár Tamás,10419,Budai XI. SE II.,20,11,55%
33.,Kricsfalusy Kornél,8763,Pénzügyőr SE VI.,32,17,53.13%
34.,Butyka Gyöngyi,16848,High Life SE III.-Rossoneri,36,19,52.78%
35.,Nagy Tamás,13908,BEAC I.-PPKO,23,12,52.17%
36.,Péntek Tibor,9572,Kispest SE III.,30,15,50%
,Szabó András,10688,Pestújhelyi SC IV.,28,14,50%
38.,Zacher Gizella,10367,Belvárosi Asztalitenisz Egyesület,36,17,47.22%
,Populás György,12933,Belvárosi Asztalitenisz Egyesület,36,17,47.22%
40.,Szőnyi Márta,10105,KSI SE VI.- MIKI I.,28,13,46.43%
41.,Tóth Tamás,8164,MAFC II.,27,12,44.44%
42.,Bódis Attila,9553,MAFC II.,31,13,41.94%
43.,Lengyel Zoltán,9131,KSI SE VI.- MIKI I.,24,10,41.67%
44.,Kelemen József ifj.,10166,KSI SE V.-KFKI II.,28,11,39.29%
45.,Kapuszta Csaba,10691,Pestújhelyi SC IV.,28,10,35.71%
46.,Győrffy Sándor,9746,BVSC-Zugló VI.-Veterán I.,32,11,34.38%
47.,Szekulesz Péter,10422,Budai XI. SE II.,24,8,33.33%
,Lőrincz Sándor,16122,KSI SE VI.- MIKI I.,24,8,33.33%
49.,Bercsényi Tibor,14185,Kispest SE III.,32,10,31.25%
50.,Borsos András,9892,MAFC II.,36,11,30.56%
,Muszta Csaba,10176,KSI SE V.-KFKI II.,36,11,30.56%
52.,Czeglédi Viktor Dr.,13294,Igazságügyi SC I.,24,7,29.17%
,Trungel Mirella,17168,High Life SE III.-Rossoneri,24,7,29.17%
,Palágyi Tivadar,10208,BVSC-Zugló VI.-Veterán I.,24,7,29.17%
55.,Benyhe István,10597,BVSC-Zugló VI.-Veterán I.,36,10,27.78%
56.,Rácz Sándor,17526,ABC Centerline II.,30,8,26.67%
57.,Kálnoky Zoltán,9087,Pestújhelyi SC IV.,32,8,25%
,Tar Csaba,16137,Belvárosi Asztalitenisz Egyesület,28,7,25%
,Balogh József,12215,Pénzügyőr SE VI.,24,6,25%
,Kardos Gyula,9108,Pénzügyőr SE VI.,24,6,25%
,Szimeiszter Csaba,10106,Kőbánya SC II.,24,6,25%
62.,Balog István,8747,ABC Centerline II.,18,4,22.22%
63.,Németh András,14966,BVSC-Zugló IV.,28,6,21.43%
64.,Nógrádi Attila,9579,Kispest SE III.,20,3,15%
65.,Simák István,8219,Pestújhelyi SC IV.,28,4,14.29%
66.,Novák Laura,19616,MAFC II.,25,3,12%
67.,Ládonyi Ferenc,10170,KSI SE V.-KFKI II.,20,0,0%
