home_player,away_player,sets,resulthome,resultaway,match_number
Laskovics Levente,Petri Zoltán,[],3,0,1
Laskovics Levente,Szekulesz Péter,[],3,0,5
Laskovics Levente,Székely András dr.,[],3,1,9
Laskovics Levente,Pintér Róbert,[],3,2,13
Várady Zsolt dr.,Petri Zoltán,[],3,0,14
Várady Zsolt dr.,Szekulesz Péter,[],3,0,2
Várady Zsolt dr.,Székely András dr.,[],3,0,6
Várady Zsolt dr.,Pintér Róbert,[],2,3,10
Horváth Kálmán,Petri Zoltán,[],1,3,11
Horváth Kálmán,Szekulesz Péter,[],3,1,15
Horváth Kálmán,Székely András dr.,[],3,0,3
Horváth Kálmán,Pintér Róbert,[],3,2,7
Szabó József,Petri Zoltán,[],3,0,8
Szabó József,Szekulesz Péter,[],3,0,12
Szabó József,Székely András dr.,[],3,2,16
Szabó József,Pintér Róbert,[],1,3,4
