position,name,license,team,matches,wins,win_percentage
1.,Kormos István,17263,Multi Sport SE,108,105,97.22%
2.,Jónás Csaba,11283,Multi Sport SE,100,93,93%
3.,Szakály Áron,11739,BEAC I.,88,78,88.64%
4.,Nagy Tamás,13908,KSI SE VII.-PPKO,108,95,87.96%
5.,Eduardo Charters,17009,BEAC I.,108,92,85.19%
6.,Hertelendy Amadó,13888,BEAC I.,100,85,85%
7.,Graur Tamás,9942,Budai XI. SE V.,96,81,84.38%
8.,Pölöskei András,14054,SZÜV ASE I.,76,62,81.58%
9.,Mayer József,9088,KSI SE IX.,100,80,80%
10.,Sipos Zoltán,8301,BKV Előre  SC III.,112,88,78.57%
11.,Szabó Miklós,13911,KSI SE VII.-PPKO,108,81,75%
,Harsányi Zsolt Tamás,16932,Pénzügyőr SE IX.,100,75,75%
,Tóth Jánosné,12465,Pénzügyőr SE IX.,76,57,75%
14.,Kellner Attila,14052,Budai XI. SE V.,104,76,73.08%
15.,Mészáros Bálint,16749,BEAC I.,92,66,71.74%
16.,Mórocz Tamás,14056,SZÜV ASE I.,72,50,69.44%
17.,Wehovszky Tamás,8563,KSI SE IX.,92,63,68.48%
18.,Petri Zoltán,16150,Budai XI. SE V.,100,68,68%
19.,Erdei István,15763,Csepeli VAKE I.,112,74,66.07%
20.,Borbély Andor,10085,Kőbánya SC II.,108,71,65.74%
21.,Uhrin Márton,14322,Csepeli VAKE I.,96,61,63.54%
22.,Éll József,14104,Pénzügyőr SE IX.,108,66,61.11%
23.,Évi Róbert,16947,Kőbánya SC II.,108,64,59.26%
24.,Boros László,10086,Kőbánya SC II.,104,61,58.65%
25.,Molnár Levente,12820,Budai XI. SE V.,92,53,57.61%
26.,Kocsis Gábor,13909,KSI SE VII.-PPKO,112,62,55.36%
27.,Szarvas Tamás,16733,KSI SE VII.-PPKO,80,44,55%
28.,Pikó Imre,14325,Csepeli VAKE I.,112,61,54.46%
29.,Lutz Péter,15973,KSI SE IX.,76,40,52.63%
30.,Biczó Márton,11254,MAFC III.-PANCHO,108,56,51.85%
31.,Kollát Miklós,14053,SZÜV ASE I.,88,45,51.14%
32.,Koronváry Miklós,8298,BKV Előre  SC III.,56,28,50%
33.,Raksányi Géza,8659,Ferencvárosi Vasutas SK,108,53,49.07%
34.,Bodnár István,16752,Pénzügyőr SE IX.,64,31,48.44%
35.,Cserepi Ferenc,10438,Ferencvárosi Vasutas SK,108,51,47.22%
36.,Dibusz Tibor,17264,Multi Sport SE,104,48,46.15%
37.,Hegyi János,13902,SZÜV ASE I.,80,35,43.75%
38.,Kun Lívia,10174,BKV Előre  SC III.,60,26,43.33%
39.,Kovács Attila,12581,MAFC III.-PANCHO,72,31,43.06%
40.,Kovács Zoltán,8596,ESMTK IV.,100,43,43%
41.,Péhl Tamás,8583,Puskás DSK II.,108,46,42.59%
,Hatházi Árpád,10440,Ferencvárosi Vasutas SK,108,46,42.59%
43.,Szijártó József,8561,KSI SE IX.,88,35,39.77%
44.,Falusi István,9577,MAFC III.-PANCHO,76,30,39.47%
45.,Börzsey Béla,9828,Puskás DSK II.,104,40,38.46%
46.,Kertai László,14324,Csepeli VAKE I.,100,34,34%
47.,Groszmanné Haász Judit,16198,ESMTK IV.,84,25,29.76%
48.,Schmidt Attila,16491,MAFC III.-PANCHO,68,20,29.41%
49.,Erdélyi László,12193,BKV Előre  SC III.,96,28,29.17%
50.,Borsi Lajos,9479,ESMTK IV.,80,22,27.5%
51.,Szilágyi László,10107,Kőbánya SC II.,112,30,26.79%
52.,Csizmás Ferenc,12931,Multi Sport SE,104,27,25.96%
,Hegedűs László,10441,Ferencvárosi Vasutas SK,104,27,25.96%
54.,Molnár Balázs,10168,KSI Senior-KFKI SK IV.,104,26,25%
55.,Gulyás István,10349,KSI Senior-KFKI SK IV.,112,27,24.11%
56.,Oláh Tímea,15465,ESMTK IV.,80,16,20%
57.,Bartha Zoltán,14055,SZÜV ASE I.,68,13,19.12%
58.,Sápi Zoltán Dr.,14135,BKV Előre  SC III.,64,12,18.75%
59.,Wietecha Pál,8582,Puskás DSK II.,92,15,16.3%
60.,Pap Jenő,11252,Puskás DSK II.,88,11,12.5%
61.,Ládonyi Ferenc,10170,KSI Senior-KFKI SK IV.,68,7,10.29%
62.,Németh István,10420,KSI Senior-KFKI SK IV.,112,6,5.36%
