home_player,away_player,sets,resulthome,resultaway,match_number
Szabó András,Szabó István,[],2,3,1
Szabó András,Varga Gergely,[],3,2,5
Szabó András,Pintér Róbert,[],3,2,9
Szabó András,Szekulesz Péter,[],3,2,13
Kálnoky Zoltán,Szabó István,[],2,3,14
Kálnoky Zoltán,Varga Gergely,[],1,3,2
Kálnoky Zoltán,Pintér Róbert,[],0,3,6
Kálnoky Zoltán,Szekulesz Péter,[],3,1,10
Pató Gábor,Szabó István,[],3,1,11
Pató Gábor,Varga Gergely,[],0,3,15
Pató Gábor,Pintér Róbert,[],1,3,3
Pató Gábor,Szekulesz Péter,[],3,2,7
Hegedűs Vince,Szabó István,[],0,3,8
Hegedűs Vince,Varga Gergely,[],3,0,12
Hegedűs Vince,Pintér Róbert,[],1,3,16
Hegedűs Vince,Szekulesz Péter,[],2,3,4
