position,name,license,team,matches,wins,win_percentage
1.,Deák Milán,17858,Palotai Titánok SE I.,96,95,98.96%
2.,Török Attila,8388,Palotai Titánok SE I.,96,85,88.54%
3.,Erdész Tibor,9021,Igazságügyi SC I.,96,84,87.5%
4.,Klampár Tibor,10316,Petend-Shopsport SE,92,80,86.96%
5.,Bercsényi Marcell,17366,Palotai Titánok SE I.,96,81,84.38%
6.,Zsigmond Olivér dr.,12576,OTP SK I.,92,73,79.35%
7.,Simon Gergő,12818,BEAC II.,76,59,77.63%
8.,Németh Miksa,18491,Palotai Titánok SE I.,88,68,77.27%
9.,Alaksa Levente,13746,BKV Előre  SC II.,88,67,76.14%
10.,Monostori Balázs,9130,Pestszentimrei PSE III.,100,76,76%
11.,Pintér Róbert,10371,Budai XI. SE III.,76,56,73.68%
12.,Király Zsolt,8380,Pénzügyőr SE VI.,96,70,72.92%
13.,Radu Doru,16305,Kispest SE III.,66,48,72.73%
14.,Hegyi László,8581,OTP SK I.,80,58,72.5%
15.,Georgopulosz Vaszilisz,8302,OTP SK I.,92,65,70.65%
16.,Hanyecz Attila,10417,Budai XI. SE III.,67,46,68.66%
17.,Gyenes Csaba,19849,Igazságügyi SC I.,92,63,68.48%
18.,Kollár Tamás,10419,Budai XI. SE III.,76,50,65.79%
19.,Penczner Endre,10101,Kőbánya SC II.,96,62,64.58%
20.,Varga Gergely,10421,Budai XI. SE III.,56,36,64.29%
21.,Nagy Tamás,13908,BEAC II.,58,37,63.79%
22.,Lelesz István,10099,Kőbánya SC II.,99,62,62.63%
23.,Frecska Sándor,9605,OTP SK I.,100,61,61%
24.,Szakály Áron,11739,BKV Előre  SC II.,64,39,60.94%
25.,Hachbold Tamás,12604,Pénzügyőr SE VI.,80,48,60%
26.,Kricsfalusy Kornél,8763,Pénzügyőr SE VI.,96,56,58.33%
27.,Botlik Gergő,18458,BEAC II.,80,46,57.5%
28.,Barabás Zoltán,9061,Petend-Shopsport SE,84,48,57.14%
29.,Kávássy Lóránd,14795,Belvárosi Asztalitenisz Egyesület,95,54,56.84%
30.,Kapuszta Csaba,10691,Pestújhelyi SC III.,88,50,56.82%
31.,Pillinger János,9672,Kőbánya SC II.,100,55,55%
32.,Kőszeghy Viktória,14570,Pestszentimrei PSE III.,84,46,54.76%
33.,Szabó András,10688,Pestújhelyi SC III.,104,53,50.96%
34.,Arató János,9258,Petend-Shopsport SE,84,40,47.62%
35.,Halasi Dávid dr.,11862,BEAC II.,76,36,47.37%
36.,Lőrincz Sándor,16122,Pestszentimrei PSE III.,56,26,46.43%
37.,Bercsényi Tibor,14185,Kispest SE III.,88,40,45.45%
38.,Erdész Ákos,11534,Igazságügyi SC I.,96,43,44.79%
39.,Szőnyi Márta,10105,Pestszentimrei PSE III.,72,32,44.44%
40.,Komár János,8304,BKV Előre  SC II.,64,28,43.75%
41.,Erdei István,15763,ESMTK III.,100,43,43%
42.,Szűcs Krisztián,19266,Belvárosi Asztalitenisz Egyesület,100,42,42%
43.,Szandi Nándor Mihály,12761,Pestújhelyi SC III.,84,35,41.67%
44.,Emmer Péter,17267,Pénzügyőr SE VI.,90,37,41.11%
45.,Populás György,12933,Belvárosi Asztalitenisz Egyesület,87,35,40.23%
46.,Szimeiszter Csaba,10106,Kőbánya SC II.,64,25,39.06%
47.,Zacher Gizella,10367,Belvárosi Asztalitenisz Egyesület,100,38,38%
48.,Katona Gábor,18593,Kispest SE III.,78,29,37.18%
49.,Lengyel Zoltán,9131,Pestszentimrei PSE III.,84,31,36.9%
50.,Váczi Attila Mihály,16351,BEAC II.,70,25,35.71%
51.,Péntek Tibor,9572,Kispest SE III.,63,21,33.33%
52.,Czeglédi Viktor Dr.,13294,Igazságügyi SC I.,96,26,27.08%
53.,Kovács Zoltán,8596,ESMTK III.,100,27,27%
54.,Kozák Milán,15341,Kispest SE III.,70,18,25.71%
55.,Metykó László,15848,BKV Előre  SC II.,88,22,25%
56.,Csima Viktor,8031,ESMTK III.,74,17,22.97%
57.,Bártfai Zsombor Pál,9137,Pestújhelyi SC III.,68,15,22.06%
58.,Szántó Sándor,10195,Petend-Shopsport SE,84,14,16.67%
