home_player,away_player,sets,resulthome,resultaway,match_number
Pállay Gergely,Mohácsi János,"['10-12', '9-11', '11-8', '11-7']",2,3,1
Pállay Gergely,Huszár Zoltán,"['12-14', '11-9', '9-11', '9-11']",1,3,5
Pállay Gergely,Dezsényiné Horgos Barbara,"['8-11', '4-11', '8-11']",0,3,9
Pállay Gergely,Somogyi Roland,"['11-6', '3-11', '11-4', '11-13']",2,3,13
Hegedűs László,Mohácsi János,"['11-8', '7-11', '11-4', '13-15']",2,3,14
Hegedűs László,Huszár Zoltán,"['7-11', '7-11', '7-11']",0,3,2
Hegedűs László,Dezsényiné Horgos Barbara,"['6-11', '8-11', '8-11']",0,3,6
Hegedűs László,Somogyi Roland,"['7-11', '6-11', '4-11']",0,3,10
Molnár Gábor,Mohácsi János,"['8-11', '10-12', '5-11']",0,3,11
Molnár Gábor,Huszár Zoltán,"['12-10', '5-11', '4-11', '7-11']",1,3,15
Molnár Gábor,Dezsényiné Horgos Barbara,"['12-10', '11-9', '7-11', '9-11']",2,3,3
Molnár Gábor,Somogyi Roland,"['6-11', '3-11', '5-11']",0,3,7
Murányi Szilvia Dóra,Mohácsi János,"['3-11', '11-8', '11-8', '11-6']",3,1,8
Murányi Szilvia Dóra,Huszár Zoltán,"['11-5', '11-13', '4-11', '4-11']",1,3,12
Murányi Szilvia Dóra,Dezsényiné Horgos Barbara,"['10-12', '11-8', '9-11', '8-11']",1,3,16
Murányi Szilvia Dóra,Somogyi Roland,"['7-11', '14-12', '8-11', '4-11']",1,3,4
