home_player,away_player,sets,resulthome,resultaway,match_number
Radu Doru,Radnóti Gábor,[],3,0,1
Radu Doru,Lengyel Zoltán,[],0,3,5
Radu Doru,Szabó László Vince,[],3,0,9
Radu Doru,Monostori Balázs,[],3,2,13
Fleischer Zoltán,Radnóti Gábor,[],0,3,14
Fleischer Zoltán,Lengyel Zoltán,[],2,3,2
Fleischer Zoltán,Szabó László Vince,[],1,3,6
Fleischer Zoltán,Monostori Balázs,[],0,3,10
Péntek Tibor,Radnóti Gábor,[],3,1,11
Péntek Tibor,Lengyel Zoltán,[],3,0,15
Péntek Tibor,Szabó László Vince,[],1,3,3
Péntek Tibor,Monostori Balázs,[],0,3,7
Bercsényi Tibor,Radnóti Gábor,[],3,1,8
Bercsényi Tibor,Lengyel Zoltán,[],1,3,12
Bercsényi Tibor,Szabó László Vince,[],1,3,16
Bercsényi Tibor,Monostori Balázs,[],1,3,4
