home_player,away_player,sets,resulthome,resultaway,match_number
Kardos Csaba,Simon Péter,[],0,3,1
Kardos Csaba,Szalay Tamás dr.Szalay Zoltán dr.,[],1,3,5
Kardos Csaba,Molnár András Gábor,[],3,1,9
Kardos Csaba,Gubai György,[],1,3,13
Igaly Katalin,Simon Péter,[],0,3,14
Igaly Katalin,Szalay Tamás dr.Szalay Zoltán dr.,[],0,3,2
Igaly Katalin,Molnár András Gábor,[],0,3,6
Igaly Katalin,Gubai György,[],3,0,10
Makkai Katalin,Simon Péter,[],1,3,11
Makkai Katalin,Szalay Tamás dr.Szalay Zoltán dr.,[],2,3,15
Makkai Katalin,Molnár András Gábor,[],2,3,3
Makkai Katalin,Gubai György,[],1,3,7
Ferencsák JózsefNagy Zoltán dr.,Simon Péter,[],0,3,8
Ferencsák JózsefNagy Zoltán dr.,Szalay Tamás dr.Szalay Zoltán dr.,[],0,3,12
Ferencsák JózsefNagy Zoltán dr.,Molnár András Gábor,[],0,3,16
Ferencsák JózsefNagy Zoltán dr.,Gubai György,[],1,3,4
