home_player,away_player,sets,resulthome,resultaway,match_number
Frecska Sándor,Kovács Attila,[],3,2,1
Frecska Sándor,Kovács Csaba,[],1,3,5
Frecska Sándor,Katus Ferenc,[],1,3,9
Frecska Sándor,Demeter Sándor ifj.,[],1,3,13
Zsigmond Olivér dr.,Kovács Attila,[],3,1,14
Zsigmond Olivér dr.,Kovács Csaba,[],3,0,2
Zsigmond Olivér dr.,Katus Ferenc,[],3,2,6
Zsigmond Olivér dr.,Demeter Sándor ifj.,[],3,1,10
Georgopulosz Vaszilisz,Kovács Attila,[],3,0,11
Georgopulosz Vaszilisz,Kovács Csaba,[],3,0,15
Georgopulosz Vaszilisz,Katus Ferenc,[],1,3,3
Georgopulosz Vaszilisz,Demeter Sándor ifj.,[],3,1,7
Nincs játékos,Kovács Attila,[],0,3,8
Nincs játékos,Kovács Csaba,[],0,3,12
Nincs játékos,Katus Ferenc,[],0,3,16
Nincs játékos,Demeter Sándor ifj.,[],0,3,4
