position,name,license,team,matches,wins,win_percentage
1.,Trinh Minh Hoang,19695,MAFC IV.-EMKÁBÉ,74,69,93.24%
2.,Nikolich Branko dr.,20001,High Life SE IV.-Diavoli,92,82,89.13%
3.,Szétag Attila,8716,ABC Centerline III.,96,85,88.54%
4.,Simon Gergő,12818,BEAC II.,80,70,87.5%
5.,Alaksa Levente,13746,BKV Előre  SC III.,104,90,86.54%
6.,Szabó Tamás,13905,ESZVK-Parazsak,79,65,82.28%
7.,Németh Tamás,17304,ESZVK-Parazsak,94,77,81.91%
8.,Bakó Endre,10608,High Life SE IV.-Diavoli,80,64,80%
,Lucz Péter,9625,Honvéd Zrínyi SE II.,60,48,80%
10.,Szabó Csilla,15692,Budai XI SE IV.-Kontra csoport,67,51,76.12%
11.,Kiss György,16270,MVM Gáz SE I.,95,71,74.74%
12.,Nozicska József,11623,MVM Gáz SE I.,79,59,74.68%
13.,Nagy Tamás,13908,BEAC II.,91,65,71.43%
14.,Gárdai Csaba,11245,KIWI SE,92,63,68.48%
15.,Botlik Gergő,18458,BEAC II.,80,54,67.5%
16.,Veress Barna Dániel,11337,KIWI SE,100,67,67%
,Babusa Sándor,9524,Honvéd Zrínyi SE II.,100,67,67%
18.,Bella Balázs,8731,Budai XI SE IV.-Kontra csoport,84,55,65.48%
19.,Uhrin Zsolt,17599,Budai XI SE VIII.-Őrmező,92,58,63.04%
20.,Demény Lóránd,18621,Budai XI SE VIII.-Őrmező,60,37,61.67%
21.,Baluka Tamás,9826,High Life SE IV.-Diavoli,56,34,60.71%
22.,Kelemen János,14073,KIWI SE,96,56,58.33%
23.,Tóth Márta,11624,Törekvés SE,94,54,57.45%
24.,Botár Attila,12343,Törekvés SE,82,47,57.32%
25.,Metykó László,15848,BKV Előre  SC III.,93,53,56.99%
26.,Kovács Csaba,10603,MAFC IV.-EMKÁBÉ,87,49,56.32%
27.,Simon krisztián,19126,Budai XI SE VIII.-Őrmező,67,37,55.22%
28.,Halasi Dávid dr.,11862,BEAC II.,71,39,54.93%
29.,Szétag-Thész Dorottya,8419,ABC Centerline III.,88,48,54.55%
30.,Zsedényi Csaba,15672,Pénzügyőr SE VII.,90,49,54.44%
31.,Visnyánszky Mihály,8297,BKV Előre  SC III.,94,50,53.19%
32.,Bende Attila,9941,Budai XI SE IV.-Kontra csoport,93,49,52.69%
33.,Orosz Ferenc,8353,Törekvés SE,86,45,52.33%
34.,Vasanits Attila,14972,MVM Gáz SE I.,66,34,51.52%
35.,Kis Árpád,19455,Pénzügyőr SE VII.,92,47,51.09%
36.,Rácz Sándor,17526,ABC Centerline III.,100,51,51%
37.,Váczi Attila Mihály,16351,BEAC II.,70,34,48.57%
38.,Kis László,9629,Honvéd Zrínyi SE II.,66,31,46.97%
39.,Németh Péter,12789,ABC Centerline III.,72,33,45.83%
40.,Kertész Gábor,15498,MVM Gáz SE I.,79,36,45.57%
41.,Czirják Gábor,8307,BKV Előre  SC III.,78,34,43.59%
42.,Bodnár István,16752,MVM Gáz SE I.,74,31,41.89%
43.,Szeles László,19022,High Life SE IV.-Diavoli,85,35,41.18%
44.,Tomacsek József,19456,Pénzügyőr SE VII.,88,36,40.91%
45.,La Roche István,10489,Törekvés SE,100,40,40%
46.,Czomba Imre,12795,Budai XI SE VIII.-Őrmező,79,31,39.24%
47.,Makai Ákos,8691,ESZVK-Parazsak,68,25,36.76%
48.,Jeges Csaba,14639,Budai XI SE VIII.-Őrmező,58,21,36.21%
49.,Órai Dezső,14221,ESZVK-Parazsak,67,24,35.82%
50.,Szénás József,13852,MAFC IV.-EMKÁBÉ,80,28,35%
51.,Újházi Csilla,10631,MAFC IV.-EMKÁBÉ,64,22,34.38%
52.,Pikó Imre,14325,FKF SK IV.-Öregfiúk,104,30,28.85%
53.,Szamkó István,9630,Honvéd Zrínyi SE II.,56,16,28.57%
54.,Kertai László,14324,ABC Centerline III.,56,15,26.79%
55.,Papp Csaba,19532,Pénzügyőr SE VII.,67,15,22.39%
56.,Szökendi Attila,11975,Budai XI SE IV.-Kontra csoport,64,14,21.88%
57.,Raksányi Géza,8659,FKF SK IV.-Öregfiúk,100,19,19%
58.,Berki Balázs dr.,14050,ESZVK-Parazsak,64,11,17.19%
59.,Perjési Tamás,21383,FKF SK IV.-Öregfiúk,76,9,11.84%
