home_player,away_player,sets,resulthome,resultaway,match_number
Erdélyi László,Petz György,[],0,3,1
Erdélyi László,Petz László dr.,[],3,2,5
Erdélyi László,Komjátszeghy Gyula,[],0,3,9
Erdélyi László,Kelemen János,[],2,3,13
Klampár-Leskó Edina,Petz György,[],3,0,14
Klampár-Leskó Edina,Petz László dr.,[],1,3,2
Klampár-Leskó Edina,Komjátszeghy Gyula,[],1,3,6
Klampár-Leskó Edina,Kelemen János,[],2,3,10
Kun Lívia,Petz György,[],1,3,11
Kun Lívia,Petz László dr.,[],1,3,15
Kun Lívia,Komjátszeghy Gyula,[],2,3,3
Kun Lívia,Kelemen János,[],0,3,7
Sipos Zoltán,Petz György,[],3,0,8
Sipos Zoltán,Petz László dr.,[],3,0,12
Sipos Zoltán,Komjátszeghy Gyula,[],3,0,16
Sipos Zoltán,Kelemen János,[],2,3,4
