position,name,license,team,matches,wins,win_percentage
1.,Szosznyák Emma,17736,Budai XI SE III.,28,28,100%
2.,Szántó Gyula,8281,Kispest SE II.,28,27,96.43%
3.,Novák Balázs János,13915,High Life SE II.-WASABI,24,21,87.5%
,Laskovics Levente,9816,Angyalföldi TTE I.,16,14,87.5%
5.,Brázai Balázs Botond,16445,Kispest SE II.,32,26,81.25%
,Bodó Tivadar,14169,Budai XI SE III.,32,26,81.25%
7.,Szakály Áron,11739,BKV Előre SC I.,19,14,73.68%
8.,Marosi Viktória dr.,17255,Budai XI SE III.,32,23,71.88%
9.,Takács  Attila,16944,High Life SE II.-WASABI,28,20,71.43%
,Kisvarga Benjámin,14361,Szent Pál Akadémia-HSE I.,28,20,71.43%
11.,Geiger János,12393,BVSC-Zugló V.-Senior II.,24,17,70.83%
12.,Nagy Gábor Zsolt,8720,Pénzügyőr SE V.,27,19,70.37%
,Hertelendy Amadó,13888,BKV Előre SC I.,27,19,70.37%
14.,Georgopulosz Vaszilisz,8302,OTP SK I.,19,13,68.42%
15.,Hegyi László,8581,OTP SK I.,22,15,68.18%
16.,Horgonyi-Szabó Árpád,14774,Pénzügyőr SE V.,25,17,68%
17.,Heller Bence,17198,KSI SE IV.,28,19,67.86%
18.,Andrasek Attila,8585,Szent Pál Akadémia-HSE I.,24,16,66.67%
,Buck György,11241,Kispest SE II.,18,12,66.67%
20.,Harsányi Zsolt Tamás,16932,Pénzügyőr SE V.,32,21,65.63%
,Shan Mingyu,19487,BVSC-Zugló V.-Senior II.,32,21,65.63%
22.,Juhász László,9528,KSI SE IV.,32,20,62.5%
,Prinyi Csaba,14743,KSI Senior-KÖZGÁZ SC és DSK,24,15,62.5%
24.,Simon Krisztián,12708,ABC Centerline III.,28,17,60.71%
25.,Rugási László,8207,KSI Senior-KÖZGÁZ SC és DSK,32,19,59.38%
26.,Zsigmond Olivér dr.,12576,OTP SK I.,24,14,58.33%
27.,Horváth Kálmán,15579,Angyalföldi TTE I.,28,16,57.14%
28.,Vancsura György,8519,KSI Senior-KÖZGÁZ SC és DSK,32,18,56.25%
29.,Korály Csaba,11218,ESMTK II.,24,13,54.17%
30.,Berger Árpád,17643,Budai XI SE III.,28,15,53.57%
31.,Katus Ferenc,9896,MAFC III.-PANCHO,32,17,53.13%
,Szanda Szilárd,8586,ESMTK II.,32,17,53.13%
33.,Kardos Géza,14321,Pénzügyőr SE V.,31,16,51.61%
34.,Karikás Gábor,11808,BVSC-Zugló V.-Senior II.,32,16,50%
,Pósfai László,9814,BKV Előre SC I.,32,16,50%
,Horváth Tamás,11240,Kispest SE II.,18,9,50%
37.,Szalay József,9453,Kispest SE II.,21,10,47.62%
38.,Steinbach Roland,16711,Szent Pál Akadémia-HSE I.,28,13,46.43%
,Turkovics Kornél,14572,ESMTK II.,28,13,46.43%
40.,Éll József,14104,Pénzügyőr SE V.,24,11,45.83%
41.,Komár János,8304,BKV Előre SC I.,20,9,45%
42.,Litkei József,11622,BVSC-Zugló V.-Senior II.,26,11,42.31%
43.,Tóth Krisztián,14741,ESMTK IV.,24,10,41.67%
,Takács Lajos,9455,High Life SE II.-WASABI,24,10,41.67%
45.,Demeter Sándor ifj.,8627,MAFC III.-PANCHO,32,13,40.63%
46.,Szabó László,9347,KSI SE IV.,28,11,39.29%
,Bonnyainé Varga Éva,9963,BKV Előre SC I.,28,11,39.29%
48.,Csima Viktor,8031,ESMTK IV.,26,10,38.46%
49.,Erdei István,15763,ESMTK IV.,32,12,37.5%
,Vitéz Gábor,9673,ESMTK II.,24,9,37.5%
,Wlacsil Gábor,9628,ESMTK IV.,24,9,37.5%
52.,Hiriczkó Ede,17728,ESMTK II.,28,10,35.71%
53.,Olbort Attila,9548,KSI Senior-KÖZGÁZ SC és DSK,24,8,33.33%
54.,Friesz József,9015,ABC Centerline III.,28,9,32.14%
55.,Makai Ákos,8691,ABC Centerline III.,28,8,28.57%
56.,Dudás István,9086,KSI SE IV.,32,9,28.13%
57.,Kovács Attila,12581,MAFC III.-PANCHO,24,6,25%
,Papp Nándor,8420,ABC Centerline III.,24,6,25%
59.,Szabó József,12483,Angyalföldi TTE I.,24,5,20.83%
60.,Senye Dénes,19428,ABC Centerline III.,20,4,20%
61.,Takács-Szentiványi Ildikó,16945,High Life SE II.-WASABI,28,5,17.86%
62.,Schmidt Attila,16491,MAFC III.-PANCHO,30,5,16.67%
63.,Sári László,9817,Angyalföldi TTE I.,20,3,15%
64.,Kovács Zoltán,8596,ESMTK IV.,22,3,13.64%
