home_player,away_player,sets,resulthome,resultaway,match_number
Kis László,Erdész Ákos,[],2,3,1
Kis László,Magyar Viktória,[],3,1,5
Kis László,Bánsághi Tamás,[],3,0,9
Kis László,Czeglédi Viktor Dr.,[],3,1,13
Takács Miklós Zoltán,Erdész Ákos,[],3,1,14
Takács Miklós Zoltán,Magyar Viktória,[],3,1,2
Takács Miklós Zoltán,Bánsághi Tamás,[],3,1,6
Takács Miklós Zoltán,Czeglédi Viktor Dr.,[],3,1,10
Szamkó István,Erdész Ákos,[],1,3,11
Szamkó István,Magyar Viktória,[],3,0,15
Szamkó István,Bánsághi Tamás,[],3,1,3
Szamkó István,Czeglédi Viktor Dr.,[],3,0,7
Tran van Tan,Erdész Ákos,[],1,3,8
Tran van Tan,Magyar Viktória,[],3,1,12
Tran van Tan,Bánsághi Tamás,[],0,3,16
Tran van Tan,Czeglédi Viktor Dr.,[],3,2,4
