home_player,away_player,sets,resulthome,resultaway,match_number
Nyári Lajos,Szandi Nándor Mihály,[],3,1,1
Nyári Lajos,Kelemen József id.,[],3,1,5
Nyári Lajos,Tárnok Péter András,[],3,1,9
Nyári Lajos,Nincs játékos,[],3,0,13
Janzsó Gergely,Szandi Nándor Mihály,[],3,1,14
Janzsó Gergely,Kelemen József id.,[],3,0,2
Janzsó Gergely,Tárnok Péter András,[],3,1,6
Janzsó Gergely,Nincs játékos,[],3,0,10
Koszó Gábor dr.,Szandi Nándor Mihály,[],0,3,11
Koszó Gábor dr.,Kelemen József id.,[],3,1,15
Koszó Gábor dr.,Tárnok Péter András,[],3,0,3
Koszó Gábor dr.,Nincs játékos,[],3,0,7
Lehoczki Martin,Szandi Nándor Mihály,[],3,0,8
Lehoczki Martin,Kelemen József id.,[],3,2,12
Lehoczki Martin,Tárnok Péter András,[],3,0,16
Lehoczki Martin,Nincs játékos,[],3,0,4
