home_player,away_player,sets,resulthome,resultaway,match_number
Frank László,Bencsik Gergely,[],3,1,1
Frank László,Németh Bence,[],3,1,5
Frank László,Bánkuti Csaba,[],3,0,9
Frank László,Tóth Zsolt,[],3,0,13
Urbán Erika,Bencsik Gergely,[],3,0,14
Urbán Erika,Németh Bence,[],3,1,2
Urbán Erika,Bánkuti Csaba,[],3,1,6
Urbán Erika,Tóth Zsolt,[],3,0,10
Gönczöl Péter,Bencsik Gergely,[],2,3,11
Gönczöl Péter,Németh Bence,[],3,2,15
Gönczöl Péter,Bánkuti Csaba,[],1,3,3
Gönczöl Péter,Tóth Zsolt,[],0,3,7
Tóth András,Bencsik Gergely,[],1,3,8
Tóth András,Németh Bence,[],2,3,12
Tóth András,Bánkuti Csaba,[],3,2,16
Tóth András,Tóth Zsolt,[],3,2,4
