home_player,away_player,sets,resulthome,resultaway,match_number
Markus Schwander,Borbély Andor,[],3,0,1
Markus Schwander,Sztipich Gábor,[],3,0,5
Markus Schwander,Boros László,[],3,2,9
Markus Schwander,Szilágyi László,[],3,0,13
Simon Dávid,Borbély Andor,[],3,0,14
Simon Dávid,Sztipich Gábor,[],3,0,2
Simon Dávid,Boros László,[],1,3,6
Simon Dávid,Szilágyi László,[],3,1,10
Rigó József,Borbély Andor,[],3,0,11
Rigó József,Sztipich Gábor,[],3,0,15
Rigó József,Boros László,[],3,0,3
Rigó József,Szilágyi László,[],3,0,7
Németh Tamás,Borbély Andor,[],3,0,8
Németh Tamás,Sztipich Gábor,[],3,0,12
Németh Tamás,Boros László,[],3,2,16
Németh Tamás,Szilágyi László,[],3,1,4
