home_player,away_player,sets,resulthome,resultaway,match_number
Mórocz Tamás,Kajdon András,[],3,0,1
Mórocz Tamás,Honéczy Barnabás,[],2,3,5
Mórocz Tamás,Gőgh József,[],1,3,9
Mórocz Tamás,Lengyel Károly,[],3,0,13
Hegyi János,Kajdon András,[],0,3,14
Hegyi János,Honéczy Barnabás,[],3,0,2
Hegyi János,Gőgh József,[],0,3,6
Hegyi János,Lengyel Károly,[],3,0,10
Pölöskei András,Kajdon András,[],2,3,11
Pölöskei András,Honéczy Barnabás,[],1,3,15
Pölöskei András,Gőgh József,[],0,3,3
Pölöskei András,Lengyel Károly,[],3,1,7
Kollát Miklós,Kajdon András,[],3,1,8
Kollát Miklós,Honéczy Barnabás,[],1,3,12
Kollát Miklós,Gőgh József,[],3,1,16
Kollát Miklós,Lengyel Károly,[],2,3,4
