home_player,away_player,sets,resulthome,resultaway,match_number
Szabó László,Mühl Gabriella,[],0,3,1
Szabó László,Pinczés Attila,[],1,3,5
Szabó László,Szabó Attila,[],0,3,9
Szabó László,Maczenkó Ferenc,[],1,3,13
Jeges Csaba,Mühl Gabriella,[],0,3,14
Jeges Csaba,Pinczés Attila,[],1,3,2
Jeges Csaba,Szabó Attila,[],0,3,6
Jeges Csaba,Maczenkó Ferenc,[],0,3,10
Czomba Imre,Mühl Gabriella,[],0,3,11
Czomba Imre,Pinczés Attila,[],1,3,15
Czomba Imre,Szabó Attila,[],0,3,3
Czomba Imre,Maczenkó Ferenc,[],2,3,7
Bende Attila,Mühl Gabriella,[],2,3,8
Bende Attila,Pinczés Attila,[],2,3,12
Bende Attila,Szabó Attila,[],1,3,16
Bende Attila,Maczenkó Ferenc,[],1,3,4
