home_player,away_player,sets,resulthome,resultaway,match_number
Nagygyörgy András,Ondré János,[],3,0,1
Nagygyörgy András,Frecska Sándor,[],3,1,5
Nagygyörgy András,Georgopulosz Vaszilisz,[],3,1,9
Nagygyörgy András,Zsigmond Olivér dr.,[],3,1,13
Sinka Csaba,Ondré János,[],3,0,14
Sinka Csaba,Frecska Sándor,[],3,1,2
Sinka Csaba,Georgopulosz Vaszilisz,[],3,2,6
Sinka Csaba,Zsigmond Olivér dr.,[],3,0,10
Nguyen Anh Phuong,Ondré János,[],3,2,11
Nguyen Anh Phuong,Frecska Sándor,[],3,0,15
Nguyen Anh Phuong,Georgopulosz Vaszilisz,[],0,3,3
Nguyen Anh Phuong,Zsigmond Olivér dr.,[],3,1,7
Rajmon Attila,Ondré János,[],1,3,8
Rajmon Attila,Frecska Sándor,[],2,3,12
Rajmon Attila,Georgopulosz Vaszilisz,[],0,3,16
Rajmon Attila,Zsigmond Olivér dr.,[],0,3,4
