position,name,license,team,matches,wins,win_percentage
1.,Freund Tamás,10704,Kőbánya SC I.,100,94,94%
2.,Szántó Gyula,8281,Kispest SE I.,100,93,93%
3.,Rohovszky László Dr.,16290,VEMAX SE III.,85,72,84.71%
4.,Makranczi László Zsolt,10739,Szent Pál Akadémia-HSE I.,88,73,82.95%
5.,Bercsényi Marcell,17366,Kispest SE I.,104,78,75%
,Stircz Kristóf,12506,Szent Pál Akadémia-HSE I.,72,54,75%
7.,Bakó Szilvia,12471,EGIS SE I.,100,73,73%
8.,Padla László,12582,ABC Centerline I.,92,67,72.83%
9.,Németh Ádám dr.,8673,OTP SK I.,80,58,72.5%
10.,Bodó Tivadar,14169,Budai XI SE II.,100,71,71%
11.,Nemes Gábor,8883,MVM SE I.,85,60,70.59%
12.,Nagygyörgy András,12583,ABC Centerline I.,92,64,69.57%
13.,Xiong Shao,13384,VEMAX SE III.,96,64,66.67%
14.,Kisvarga Benjámin,14361,Szent Pál Akadémia-HSE I.,96,63,65.63%
15.,Marosi Viktória dr.,17255,Budai XI SE II.,100,63,63%
16.,Endrényi Gábor,9550,MVM SE I.,97,61,62.89%
17.,Ürge Krisztián,17656,Kispest SE I.,88,53,60.23%
18.,Csongor Tamás,12992,ABC Centerline I.,95,57,60%
19.,Várady Ágnes,8138,MVM SE I.,96,57,59.38%
20.,Gábor Benjamin,15340,Kispest SE I.,55,32,58.18%
21.,Horváth Zoltán,10703,Kőbánya SC I.,104,60,57.69%
22.,Tóth Zsolt,10831,Pestszentimrei PSE III.,85,49,57.65%
23.,Lukács Dániel,11999,VEMAX SE III.,100,57,57%
24.,Geiger János,12393,BVSC-Zugló III.-Senior I.,96,53,55.21%
25.,Urbán Erika,9375,MVM SE I.,88,48,54.55%
26.,Demeter Miklós,14785,EGIS SE I.,104,56,53.85%
27.,Szarvas Tamás,16733,BEAC I.-PPKO,88,46,52.27%
28.,Berger Árpád,17643,Budai XI SE II.,100,52,52%
29.,Németh Bence,12781,Pestszentimrei PSE III.,84,43,51.19%
30.,Szűcs Gergely,13107,ABC Centerline I.,92,46,50%
31.,Kiss Tamás,13080,Pestszentimrei PSE III.,88,43,48.86%
32.,Sramkó László,10391,MAFC I.,100,46,46%
33.,Bíró Csaba,9332,BEAC I.-PPKO,101,46,45.54%
34.,Zsigmond Olivér dr.,12576,OTP SK I.,83,37,44.58%
35.,Schwáb Vilmos,17588,BEAC I.-PPKO,90,40,44.44%
36.,Shan Mingyu,19487,BVSC-Zugló III.-Senior I.,100,44,44%
37.,Andrasek Attila,8585,Szent Pál Akadémia-HSE I.,76,33,43.42%
38.,Tóth Tamás,8164,MAFC I.,104,45,43.27%
39.,Tóth András,10493,VEMAX SE III.,71,30,42.25%
40.,Nyilas Mihály Attila,14786,EGIS SE I.,74,31,41.89%
41.,Tódor Attila,10706,Kőbánya SC I.,104,43,41.35%
42.,Nagy Zoltán,11690,BEAC I.-PPKO,88,35,39.77%
43.,Frecska Sándor,9605,OTP SK I.,92,35,38.04%
44.,Molnár Tibor,8870,MAFC I.,96,36,37.5%
45.,Georgopulosz Vaszilisz,8302,OTP SK I.,63,22,34.92%
46.,Korály Csaba,11218,ESMTK I.,72,25,34.72%
47.,Pecsenyánszky István,9569,MAFC I.,96,33,34.38%
48.,Weidinger Zsolt,10705,Kőbánya SC I.,96,32,33.33%
49.,Juhász-Vedres Sándor,12394,BVSC-Zugló III.-Senior I.,100,33,33%
50.,Szerdahelyi Péter,12986,Budai XI SE II.,92,30,32.61%
51.,Jurik Andrea,9829,EGIS SE I.,84,27,32.14%
52.,Turkovics Kornél,14572,ESMTK I.,68,18,26.47%
53.,Hiriczkó Ede,17728,ESMTK I.,76,19,25%
54.,Bencsik Gergely,9503,Pestszentimrei PSE III.,59,14,23.73%
55.,Évi Róbert,16947,ESMTK I.,76,17,22.37%
56.,Farkas Zoltán,11861,ESMTK I.,72,12,16.67%
