home_player,away_player,sets,resulthome,resultaway,match_number
Kertai László,Halasi Dávid dr.,[],1,3,1
Kertai László,Wiener Gábor,[],3,1,5
Kertai László,Botlik Gergő,[],3,2,9
Kertai László,Váczi Attila Mihály,[],0,3,13
Németh Péter,Halasi Dávid dr.,[],3,2,14
Németh Péter,Wiener Gábor,[],3,1,2
Németh Péter,Botlik Gergő,[],3,1,6
Németh Péter,Váczi Attila Mihály,[],3,0,10
Szétag-Thész Dorottya,Halasi Dávid dr.,[],3,2,11
Szétag-Thész Dorottya,Wiener Gábor,[],3,0,15
Szétag-Thész Dorottya,Botlik Gergő,[],3,1,3
Szétag-Thész Dorottya,Váczi Attila Mihály,[],3,1,7
Szétag Attila,Halasi Dávid dr.,[],3,1,8
Szétag Attila,Wiener Gábor,[],3,0,12
Szétag Attila,Botlik Gergő,[],3,1,16
Szétag Attila,Váczi Attila Mihály,[],3,0,4
