home_player,away_player,sets,resulthome,resultaway,match_number
Padla László,Soproni József,[],1,3,1
Padla László,Leidal Csaba,[],2,3,5
Padla László,Csonka Zoltán,[],1,3,9
Padla László,Szarka Béla,[],2,3,13
Tóth Károly,Soproni József,[],0,3,14
Tóth Károly,Leidal Csaba,[],2,3,2
Tóth Károly,Csonka Zoltán,[],0,3,6
Tóth Károly,Szarka Béla,[],3,0,10
Szűcs Gergely,Soproni József,[],3,2,11
Szűcs Gergely,Leidal Csaba,[],0,3,15
Szűcs Gergely,Csonka Zoltán,[],2,3,3
Szűcs Gergely,Szarka Béla,[],1,3,7
Vitos Klára,Soproni József,[],0,3,8
Vitos Klára,Leidal Csaba,[],2,3,12
Vitos Klára,Csonka Zoltán,[],1,3,16
Vitos Klára,Szarka Béla,[],3,0,4
