position,name,license,team,matches,wins,win_percentage
1.,Karvák Attila,22133,Budai XI SE V.,72,67,93.06%
2.,Soproni József,9057,MALÉV SC I.,96,86,89.58%
3.,Török Attila,8388,Pestújhelyi SC III.,107,93,86.92%
4.,Simon Gergő,12818,BEAC II.,96,80,83.33%
5.,Monostori Balázs,9130,Pestszentimrei PSE V.,104,85,81.73%
6.,Pintér Róbert,10371,Budai XI. SE III.,106,86,81.13%
7.,Marosán Tamás,21472,Törekvés SE,80,64,80%
8.,Ambrus Ákos,21281,MALÉV SC I.,96,76,79.17%
9.,Nagy Tibor,8480,ESZVK-Parazsak,70,55,78.57%
10.,Dobi László,12580,MAFC II.,112,87,77.68%
11.,Hanyecz Attila,10417,Budai XI. SE III.,66,50,75.76%
12.,Gál Péter,19893,Pestszentimrei PSE V.,112,83,74.11%
13.,Stirling Tamás dr.,11591,Angyalföldi TTE I.,104,76,73.08%
14.,Nagy Zoltán,16328,ABC Centerline II.,96,70,72.92%
15.,Mészáros Péter Pál,19543,Budai XI SE V.,56,40,71.43%
16.,Zlotov Viktor,21614,Budai XI SE V.,80,57,71.25%
17.,Hegedűs Vince,19502,BEAC II.,92,65,70.65%
18.,Botár Attila,12343,Törekvés SE,95,67,70.53%
19.,Simon Krisztián,12708,ABC Centerline II.,88,62,70.45%
20.,Szabó Tamás,13905,ESZVK-Parazsak,94,65,69.15%
21.,Kollár Tamás,10419,Budai XI. SE III.,80,55,68.75%
22.,Szalay József,9453,FKF SK II.,88,60,68.18%
23.,Lehoczki Martin,15708,FKF SK II.,100,67,67%
24.,Bakó Endre,10608,Budai XI SE V.,96,64,66.67%
25.,Varga Gergely,10421,Budai XI. SE III.,68,44,64.71%
26.,Horváth Máté,21907,ESZVK-Parazsak,95,61,64.21%
27.,Marosi Katalin,13365,FKF SK II.,92,57,61.96%
28.,Botlik Gergő,18458,BEAC II.,104,64,61.54%
29.,Penczner Endre,10101,Kőbánya SC II.,103,63,61.17%
30.,Simon Dávid,10280,Budai XI SE V.,58,35,60.34%
31.,Lelesz István,10099,Kőbánya SC II.,103,61,59.22%
32.,Nyári Lajos,17482,FKF SK II.,101,59,58.42%
33.,Demeter Sándor ifj.,8627,MAFC II.,104,60,57.69%
34.,Pillinger János,9672,Kőbánya SC II.,112,64,57.14%
35.,Lőrincz Sándor,16122,Pestszentimrei PSE V.,104,57,54.81%
36.,Lázár Zsolt,15133,Pestújhelyi SC III.,56,28,50%
37.,Kakas Norbert,17421,MALÉV SC I.,80,39,48.75%
38.,Szalai István,10747,Törekvés SE,104,47,45.19%
39.,Balog István,8747,ABC Centerline II.,64,28,43.75%
40.,Váczi Attila Mihály,16351,BEAC II.,108,47,43.52%
41.,Gárdai Csaba,11245,KIWI SE I.,96,41,42.71%
42.,Bősz Gábor,8566,MALÉV SC I.,92,39,42.39%
43.,Friesz József,9015,ABC Centerline II.,68,28,41.18%
44.,Szimeiszter Csaba,10106,Kőbánya SC II.,92,36,39.13%
45.,Kelemen János,14073,KIWI SE I.,88,34,38.64%
46.,Gulyás István,8754,Pestújhelyi SC III.,100,38,38%
,Kovács Zoltán,13904,Budai XI SE VI.-Dunaholding,100,38,38%
48.,Szabó József,12483,Angyalföldi TTE I.,99,36,36.36%
49.,Tóth Márta,11624,Törekvés SE,85,30,35.29%
,Orosz Ferenc,8353,Törekvés SE,68,24,35.29%
51.,Lengyel Zoltán,9131,Pestszentimrei PSE V.,100,31,31%
52.,Tárnok Péter András,19239,Pestújhelyi SC III.,104,31,29.81%
53.,Kovács Attila,12581,MAFC II.,84,25,29.76%
54.,Papp Nándor,8420,ABC Centerline II.,80,23,28.75%
55.,Falusi István,9577,MAFC II.,72,19,26.39%
56.,Órai Dezső,14221,ESZVK-Parazsak,61,16,26.23%
57.,Fábián Ferenc,15724,Angyalföldi TTE I.,82,21,25.61%
58.,Andrásik Ilona,12762,Budai XI SE VI.-Dunaholding,92,23,25%
59.,Mucsina István,10699,Angyalföldi TTE I.,79,19,24.05%
60.,Arató András,12765,Budai XI SE VI.-Dunaholding,96,18,18.75%
61.,Berki Balázs dr.,14050,ESZVK-Parazsak,64,10,15.63%
62.,Schmidt Attila,16491,MAFC II.,68,8,11.76%
63.,Márton Géza,11709,Budai XI SE VI.-Dunaholding,112,7,6.25%
