home_player,away_player,sets,resulthome,resultaway,match_number
Kricsfalusy Kornél,Brázai Béla,"['11-9', '11-7', '8-11', '11-7']",3,1,1
Kricsfalusy Kornél,Gulyás Áron,"['2-11', '7-11', '11-8', '11-8']",2,3,5
Kricsfalusy Kornél,Janzsó Gergely,"['6-11', '8-11', '9-11']",0,3,9
Kricsfalusy Kornél,Brázai Balázs Botond,"['9-11', '8-11', '8-11']",0,3,13
Baló András,Brázai Béla,"['12-10', '11-13', '7-11', '11-9']",3,2,14
Baló András,Gulyás Áron,"['8-11', '11-7', '11-6', '11-8']",3,1,2
Baló András,Janzsó Gergely,"['11-8', '11-9', '11-5']",3,0,6
Baló András,Brázai Balázs Botond,"['8-11', '11-6', '7-11', '9-11']",1,3,10
Kardos Gyula,Brázai Béla,"['7-11', '11-9', '10-12', '9-11']",1,3,11
Kardos Gyula,Gulyás Áron,"['8-11', '6-11', '11-13']",0,3,15
Kardos Gyula,Janzsó Gergely,"['8-11', '10-12', '10-12']",0,3,3
Kardos Gyula,Brázai Balázs Botond,"['7-11', '3-11', '6-11']",0,3,7
Fehérhegyi Attila,Brázai Béla,"['11-13', '6-11', '3-11']",0,3,8
Fehérhegyi Attila,Gulyás Áron,"['11-8', '1-11', '9-11', '5-11']",1,3,12
Fehérhegyi Attila,Janzsó Gergely,"['7-11', '11-9', '11-4', '7-11']",2,3,16
Fehérhegyi Attila,Brázai Balázs Botond,"['11-5', '1-11', '6-11', '8-11']",1,3,4
