home_player,away_player,sets,resulthome,resultaway,match_number
Lipka Zsolt,Novothny-Farkas Csaba,[],3,1,1
Lipka Zsolt,Tóth Rudolf,[],2,3,5
Lipka Zsolt,Farkas Péter,[],2,3,9
Lipka Zsolt,Iván János,[],1,3,13
Pálinkási Csaba dr.,Novothny-Farkas Csaba,[],3,2,14
Pálinkási Csaba dr.,Tóth Rudolf,[],1,3,2
Pálinkási Csaba dr.,Farkas Péter,[],3,0,6
Pálinkási Csaba dr.,Iván János,[],2,3,10
Emmer Péter,Novothny-Farkas Csaba,[],3,2,11
Emmer Péter,Tóth Rudolf,[],0,3,15
Emmer Péter,Farkas Péter,[],1,3,3
Emmer Péter,Iván János,[],1,3,7
Nagy Gábor Zsolt,Novothny-Farkas Csaba,[],3,0,8
Nagy Gábor Zsolt,Tóth Rudolf,[],3,2,12
Nagy Gábor Zsolt,Farkas Péter,[],2,3,16
Nagy Gábor Zsolt,Iván János,[],3,1,4
