home_player,away_player,sets,resulthome,resultaway,match_number
Szendi János,Retter Barnabás,[],3,1,1
Szendi János,Hatfaludi Péter,[],2,3,5
Szendi János,Füvessy Lajos,[],1,3,9
Szendi János,Gazsó L Ferenc Dr.,[],3,0,13
Benke Mária,Retter Barnabás,[],1,3,14
Benke Mária,Hatfaludi Péter,[],1,3,2
Benke Mária,Füvessy Lajos,[],2,3,6
Benke Mária,Gazsó L Ferenc Dr.,[],0,3,10
Ferencz Károly,Retter Barnabás,[],2,3,11
Ferencz Károly,Hatfaludi Péter,[],0,3,15
Ferencz Károly,Füvessy Lajos,[],0,3,3
Ferencz Károly,Gazsó L Ferenc Dr.,[],3,1,7
Nincs játékos,Retter Barnabás,[],0,3,8
Nincs játékos,Hatfaludi Péter,[],0,3,12
Nincs játékos,Füvessy Lajos,[],0,3,16
Nincs játékos,Gazsó L Ferenc Dr.,[],0,3,4
