home_player,away_player,sets,resulthome,resultaway,match_number
Nagy Tamás,Wehovszky Tamás,[],3,1,1
Nagy Tamás,Kádár Mihály,[],3,1,5
Nagy Tamás,Szijártó József,[],3,2,9
Nagy Tamás,Lutz Péter,[],3,1,13
Kocsis Gábor,Wehovszky Tamás,[],1,3,14
Kocsis Gábor,Kádár Mihály,[],3,1,2
Kocsis Gábor,Szijártó József,[],3,0,6
Kocsis Gábor,Lutz Péter,[],1,3,10
Szarvas Tamás,Wehovszky Tamás,[],2,3,11
Szarvas Tamás,Kádár Mihály,[],3,1,15
Szarvas Tamás,Szijártó József,[],3,2,3
Szarvas Tamás,Lutz Péter,[],0,3,7
Szabó Miklós,Wehovszky Tamás,[],2,3,8
Szabó Miklós,Kádár Mihály,[],3,1,12
Szabó Miklós,Szijártó József,[],3,0,16
Szabó Miklós,Lutz Péter,[],3,1,4
