home_player,away_player,sets,resulthome,resultaway,match_number
Szandi Nándor Mihály,Balogh Zsófia,[],3,1,1
Szandi Nándor Mihály,Keserű Dóra,[],2,3,5
Szandi Nándor Mihály,Barabás Balázs,[],3,2,9
Szandi Nándor Mihály,Kovács Krisztián,[],3,2,13
Kovács Ádám,Balogh Zsófia,[],3,0,14
Kovács Ádám,Keserű Dóra,[],3,0,2
Kovács Ádám,Barabás Balázs,[],3,1,6
Kovács Ádám,Kovács Krisztián,[],3,0,10
Dudás Balázs dr.,Balogh Zsófia,[],3,2,11
Dudás Balázs dr.,Keserű Dóra,[],1,3,15
Dudás Balázs dr.,Barabás Balázs,[],3,2,3
Dudás Balázs dr.,Kovács Krisztián,[],0,3,7
Somogyi Gábor,Balogh Zsófia,[],3,0,8
Somogyi Gábor,Keserű Dóra,[],1,3,12
Somogyi Gábor,Barabás Balázs,[],1,3,16
Somogyi Gábor,Kovács Krisztián,[],3,1,4
