position,name,license,team,matches,wins,win_percentage
1.,Bogyó Csaba,8541,ESMTK I.,80,72,90%
2.,Csikos Ferenc,8217,Szufla SE I.-Kerepes,120,107,89.17%
3.,Krebs Bálint,15677,BVSC-Zugló SI IV.,116,102,87.93%
4.,Medgyes Egon,16190,Kispest SE I.,96,83,86.46%
5.,Zsiga Bulcsú,14113,BVSC-Zugló SI IV.,112,96,85.71%
6.,Abádi Márton,11256,Postás SE II.,120,97,80.83%
7.,Antal Imre,9241,MAVEX SE III.,101,81,80.2%
8.,Kaszás László,10978,ESMTK I.,100,80,80%
9.,Fülöp Zsombor,14672,BVSC-Zugló SI IV.,100,79,79%
10.,Nagy Géza,9751,FKF Zrt. SK I.,120,87,72.5%
11.,Gyuris Alajos Tibor,16202,Kispest SE I.,120,85,70.83%
12.,Bartal Tamás,12885,BVSC-Zugló SI IV.,84,59,70.24%
13.,Krajczár István,12906,MAVEX SE III.,106,72,67.92%
14.,Urbán Erika,9375,MVM SE I.,108,73,67.59%
15.,Kása Ádám,11238,Kispest SE I.,80,52,65%
16.,Samu Zoltán,8644,Pénzügyőr SE V.,64,41,64.06%
17.,Török Attila,8388,Pénzügyőr SE V.,96,61,63.54%
18.,Töltl Márton,13755,Pénzügyőr SE V.,72,45,62.5%
19.,Frecska Sándor,9605,FKF Zrt. SK I.,120,74,61.67%
20.,Szabó László,9698,Budai XI SE I.,116,71,61.21%
21.,Gönczöl Péter,9392,MVM SE I.,112,68,60.71%
22.,Szikora Bence,12494,KSI SE III.,101,61,60.4%
23.,Lelesz István,10099,Kőbánya SC I.,120,72,60%
24.,Csiszár Gábor,12144,MAFC I.,104,62,59.62%
25.,Berzy Tamás,10567,OTP SK I.,120,70,58.33%
,Juhász László,9528,Kispest SE I.,120,70,58.33%
27.,Lucz  Bertold,9621,MAVEX SE III.,81,47,58.02%
28.,Németh Dávid,11047,Szufla SE I.-Kerepes,112,63,56.25%
29.,Várady Ágnes,8138,MVM SE I.,112,62,55.36%
30.,Bódis Attila,9553,MAFC I.,120,65,54.17%
31.,Szabó László,9347,KSI SE III.,117,62,52.99%
32.,Kopasz Tibor,8833,MAVEX SE III.,102,54,52.94%
33.,Mannah Kinán dr,11257,Ikarus BSE I.,116,60,51.72%
34.,Dudás Balázs dr.,9510,ESMTK I.,92,47,51.09%
35.,Penczner Endre,10101,Kőbánya SC I.,120,60,50%
36.,Szikora Márton,12493,KSI SE III.,105,51,48.57%
37.,Méhes Gábor,8622,FKF Zrt. SK I.,64,31,48.44%
38.,Nagy Attila,11736,Ikarus BSE I.,116,56,48.28%
39.,Kádár Péter,11365,Budai XI SE I.,108,50,46.3%
40.,Szalai István,10747,Postás SE II.,120,55,45.83%
,Andrasek Attila,8585,OTP SK I.,72,33,45.83%
42.,Botyánszki László,9195,Postás SE II.,120,54,45%
43.,Szűcs Béla,8392,MVM SE I.,68,30,44.12%
44.,Georgopulosz Vaszilisz,8302,OTP SK I.,100,44,44%
45.,Pályi Attila,9940,Budai XI SE I.,116,50,43.1%
46.,Bátorfi István dr,10749,Postás SE II.,112,48,42.86%
47.,Bódis Ádám,8163,MAFC I.,112,43,38.39%
48.,Muzsik János,12197,FKF Zrt. SK I.,76,28,36.84%
49.,Török Anna,13075,ESMTK I.,100,34,34%
50.,Brázai Balázs Botond,16445,Asztalitenisz Egyetem SE,108,33,30.56%
51.,Szabó Antal,10607,Ikarus BSE I.,68,19,27.94%
52.,Szabó Gergely,8683,Budai XI SE I.,120,33,27.5%
53.,Dudás István,9086,KSI SE III.,117,32,27.35%
54.,Makk Zsolt,12325,OTP SK I.,92,23,25%
55.,Folkmayer Marcell,16134,Asztalitenisz Egyetem SE,108,25,23.15%
56.,Göndöcs Zoltán,9232,Ikarus BSE I.,88,16,18.18%
57.,Szimeiszter Csaba,10106,Kőbánya SC I.,100,17,17%
58.,Székely Gábor,10108,Kőbánya SC I.,96,14,14.58%
59.,Vagyóczki András,13747,ESMTK I.,80,11,13.75%
60.,Homonyik Attila,15526,Szufla SE I.-Kerepes,88,12,13.64%
61.,Durucskó Márton,17026,Asztalitenisz Egyetem SE,112,10,8.93%
62.,Kovács Zoltán,11787,Szufla SE I.-Kerepes,80,6,7.5%
