home_player,away_player,sets,resulthome,resultaway,match_number
Klampár Tibor ifj.,Pecsenyánszky István,"['11-7', '11-6', '11-6']",3,0,1
Klampár Tibor ifj.,Molnár Tibor,"['11-6', '9-11', '11-4', '11-3']",3,1,5
Klampár Tibor ifj.,Sramkó László,"['11-5', '11-7', '11-6']",3,0,9
Klampár Tibor ifj.,Farkas Márton,"['11-4', '11-7', '11-7']",3,0,13
Németh Roland,Pecsenyánszky István,"['11-8', '11-8', '11-7']",3,0,14
Németh Roland,Molnár Tibor,"['11-3', '9-11', '11-6', '11-6']",3,1,2
Németh Roland,Sramkó László,"['11-7', '11-9', '11-9']",3,0,6
Németh Roland,Farkas Márton,"['11-9', '11-4', '11-8']",3,0,10
Klampár Tibor Kirill,Pecsenyánszky István,"['11-7', '12-10', '11-7']",3,0,11
Klampár Tibor Kirill,Molnár Tibor,"['11-5', '11-6', '11-2']",3,0,15
Klampár Tibor Kirill,Sramkó László,"['7-11', '11-8', '11-3', '12-10']",3,1,3
Klampár Tibor Kirill,Farkas Márton,"['11-8', '11-7', '11-2']",3,0,7
Morvay Bertalan,Pecsenyánszky István,"['4-11', '7-11', '11-4', '12-14']",1,3,8
Morvay Bertalan,Molnár Tibor,"['8-11', '11-7', '3-11', '7-11']",1,3,12
Morvay Bertalan,Sramkó László,"['10-12', '11-4', '11-9', '12-14']",3,2,16
Morvay Bertalan,Farkas Márton,"['3-11', '9-11', '12-14']",0,3,4
