home_player,away_player,sets,resulthome,resultaway,match_number
Babicz Mihály,Graur Tamás,[],3,1,1
Babicz Mihály,Kellner Attila,[],3,2,5
Babicz Mihály,Balázs Árpád,[],3,0,9
Babicz Mihály,Nyeste Gábor,[],2,3,13
Jónyer Istvánné,Graur Tamás,[],0,3,14
Jónyer Istvánné,Kellner Attila,[],0,3,2
Jónyer Istvánné,Balázs Árpád,[],0,3,6
Jónyer Istvánné,Nyeste Gábor,[],3,1,10
Vass Mária,Graur Tamás,[],1,3,11
Vass Mária,Kellner Attila,[],0,3,15
Vass Mária,Balázs Árpád,[],2,3,3
Vass Mária,Nyeste Gábor,[],0,3,7
La Roche István,Graur Tamás,[],3,2,8
La Roche István,Kellner Attila,[],3,1,12
La Roche István,Balázs Árpád,[],3,0,16
La Roche István,Nyeste Gábor,[],3,0,4
