home_player,away_player,sets,resulthome,resultaway,match_number
Krisztl Péter,Strobel Soma,"['15-13', '11-6', '11-5']",3,0,1
Krisztl Péter,Kirchmayer Richárd,"['7-11', '8-11', '1-11']",0,3,5
Krisztl Péter,Kovács Szilárd,"['6-11', '11-1', '11-6', '11-3']",3,1,9
Krisztl Péter,Bali Péter,"['4-11', '12-10', '8-11', '11-7']",3,2,13
Szalay-Berzeviczy Flóra,Strobel Soma,"['5-11', '4-11', '3-11']",0,3,14
Szalay-Berzeviczy Flóra,Kirchmayer Richárd,"['12-10', '9-11', '8-11', '8-11']",1,3,2
Szalay-Berzeviczy Flóra,Kovács Szilárd,"['11-6', '7-11', '11-6', '8-11']",2,3,6
Szalay-Berzeviczy Flóra,Bali Péter,"['6-11', '10-12', '8-11']",0,3,10
Király Attila,Strobel Soma,"['4-11', '3-11', '10-12']",0,3,11
Király Attila,Kirchmayer Richárd,"['6-11', '4-11', '12-14']",0,3,15
Király Attila,Kovács Szilárd,"['7-11', '4-11', '11-8', '3-11']",1,3,3
Király Attila,Bali Péter,"['2-11', '12-10', '9-11', '6-11']",1,3,7
Váry Zsombor,Strobel Soma,"['11-9', '8-11', '11-9', '5-11']",2,3,8
Váry Zsombor,Kirchmayer Richárd,"['11-9', '9-11', '12-10', '11-8']",3,1,12
Váry Zsombor,Kovács Szilárd,"['6-11', '7-11', '11-9', '11-1']",3,2,16
Váry Zsombor,Bali Péter,"['11-6', '4-11', '7-11', '10-12']",1,3,4
